internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
44607,Dipturus campbelli,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,campbelli,,,,,"(Wallace, 1967)","<em>Dipturus campbelli</em> has previously been incorrectly synonymized with <em>D. pullopunctata</em> (Smith, 1964) by Hulley (1988), but this species is distinct (Compagno <em>et al</em>. 1989, Last <em>et al.</em> 2016)."
44647,Urotrygon chilensis,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,UROTRYGONIDAE,Urotrygon,chilensis,,,,,"(Günther, 1872)",
44653,Aculeola nigra,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Aculeola,nigra,,,,,"de Buen, 1959",
60130,Rhinoptera steindachneri,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,RHINOPTERIDAE,Rhinoptera,steindachneri,,,,,"Evermann &amp; Jenkins, 1891",
60141,Neoharriotta carri,ANIMALIA,CHORDATA,CHONDRICHTHYES,CHIMAERIFORMES,RHINOCHIMAERIDAE,Neoharriotta,carri,,,,,"Bullis &amp; Carpenter, 1966",
60142,Neoharriotta pinnata,ANIMALIA,CHORDATA,CHONDRICHTHYES,CHIMAERIFORMES,RHINOCHIMAERIDAE,Neoharriotta,pinnata,,,,,"(Schnakenbeck, 1931)",
60194,Hydrolagus mitsukurii,ANIMALIA,CHORDATA,CHONDRICHTHYES,CHIMAERIFORMES,CHIMAERIDAE,Hydrolagus,mitsukurii,,,,,"(Jordan &amp; Snyder, 1904)",
130420951,Chimaera ogilbyi,ANIMALIA,CHORDATA,CHONDRICHTHYES,CHIMAERIFORMES,CHIMAERIDAE,Chimaera,ogilbyi,,,,,"Waite, 1898","Finucci <em>et al</em>. (2018) redescribed <em>Chimaera ogilbyi</em>, merging <em>Hydrolagus lemures</em> as a synonym."
124554059,Chiloscyllium plagiosum,ANIMALIA,CHORDATA,CHONDRICHTHYES,ORECTOLOBIFORMES,HEMISCYLLIIDAE,Chiloscyllium,plagiosum,,,,,"(Anonymous [Bennett], 1830)","Dingerkus and DeFino (1983) synonymized&#160;<em>Chiloscyllium caerulopunctatum</em>&#160;with<em>&#160;C. plagiosum</em>, an action tentatively (and reluctantly) followed by Compagno (2001). The species name is not addressed in Ebert&#160;<em>et al.&#160;</em>(2013), however,&#160;<em>C. caerulopunctatum</em>&#160;is considered to be distinct from&#160;<em>C. plagiosum</em>&#160;and thus a valid species (W. White pers. comm. cited in Weigmann 2016)."
63149,Galeus atlanticus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,PENTANCHIDAE,Galeus,atlanticus,,,,,"(Vaillant, 1888)","<p>Previously this species was synonymized with&#160;<em>Galeus melastomus</em>, but it is now considered a valid species supported by both morphometric external field marks and genetic evidence (Muñoz-Chapuli and Perez-Ortega 1985, Rey <em>et al.</em> 2005, 2006, 2010; Castilho <em>et al</em>. 2007).</p>"
