"genus_species","iucn_authority","iucn_category"
"Euleptorhamphus velox","Poey, 1868","1"
"Hemiramphus balao","Lesueur, 1821","1"
"Hemiramphus brasiliensis","(Linnaeus, 1758)","1"
"Oxyporhamphus similis","Bruun, 1935","1"
"Scomberesox simulans","(Hubbs &amp; Wisner, 1980)","1"
"Etrumeus sadina","(Mitchill, 1814)","1"
"Bregmaceros nectabanus","Whitley, 1941","1"
"Enchelyopus cimbrius","(Linnaeus, 1766)","1"
"Bathygadus favosus","Goode &amp; Bean, 1886","1"
"Bathygadus macrops","Goode &amp; Bean, 1885","1"
"Bathygadus melanobranchus","Vaillant, 1888","1"
"Cetonurus globiceps","(Vaillant, 1884)","1"
"Coelorinchus labiatus","(Köhler, 1896)","1"
"Coelorinchus polli","Marshall &amp; Iwamoto, 1973","1"
"Coryphaenoides leptolepis","Günther, 1877","1"
"Coryphaenoides marshalli","Iwamoto, 1970","1"
"Coryphaenoides paramarshalli","Merrett, 1983","1"
"Coryphaenoides zaniophorus","(Vaillant, 1888)","1"
"Gadomus longifilis","(Goode &amp; Bean, 1885)","1"
"Nezumia africana","(Iwamoto, 1970)","1"
"Nezumia duodecim","Iwamoto, 1970","1"
"Nezumia micronychodon","Iwamoto, 1970","1"
"Nezumia milleri","Iwamoto, 1973","1"
"Sphagemacrurus hirundo","(Collett, 1896)","1"
"Melanonus zugmayeri","Norman, 1930","1"
"Merluccius capensis","Castelnau, 1861","1"
"Merluccius polli","Cadenat, 1950","1"
"Laemonema laureysi","Poll, 1953","1"
"Laemonema yarrellii","(Lowe, 1838)","1"
"Physiculus cyanostrophus","Anderson &amp; Tweddle, 2002","1"
"Physiculus huloti","Poll, 1953","1"
"Benthosema suborbitale","(Gilbert, 1913)","1"
"Bolinichthys distofax","Johnson, 1975","1"
"Centrobranchus nigroocellatus","(Günther, 1873)","1"
"Ceratoscopelus warmingii","(Lütken, 1892)","1"
"Diaphus bertelseni","Nafpaktitis, 1966","1"
"Diaphus brachycephalus","Tåning, 1928","1"
"Diaphus effulgens","(Goode &amp; Bean, 1896)","1"
"Diaphus fragilis","Tåning, 1928","1"
"Diaphus hudsoni","Zurbrigg &amp; Scott, 1976","1"
"Diaphus lucidus","(Goode &amp; Bean, 1896)","1"
"Diaphus meadi","Nafpaktitis, 1978","1"
"Diaphus ostenfeldi","Tåning, 1932","1"
"Diaphus perspicillatus","(Ogilby, 1898)","1"
"Diaphus splendidus","(Brauer, 1904)","1"
"Diaphus termophilus","Tåning, 1928","1"
"Hygophum macrochir","(Günther, 1864)","1"
"Hygophum reinhardtii","(Lütken, 1892)","1"
"Hygophum taaningi","Becker, 1965","1"
"Lampadena chavesi","Collett, 1905","1"
"Lampadena luminosa","(Garman, 1899)","1"
"Lampanyctodes hectoris","(Günther, 1876)","1"
"Lampanyctus alatus","Goode &amp; Bean, 1896","1"
"Lampanyctus australis","Tåning, 1932","1"
"Lampanyctus festivus","Tåning, 1928","1"
"Lampanyctus intricarius","Tåning, 1928","1"
"Lampanyctus lepidolychnus","Becker, 1967","1"
"Lampanyctus tenuiformis","(Brauer, 1906)","1"
"Lampichthys procerus","(Brauer, 1904)","1"
"Lepidophanes gaussi","(Brauer, 1906)","1"
"Lepidophanes guentheri","(Goode &amp; Bean, 1896)","1"
"Myctophum affine","(Lütken, 1892)","1"
"Myctophum asperum","Richardson, 1845","1"
"Myctophum nitidulum","Garman, 1899","1"
"Myctophum obtusirostre","Tåning, 1928","1"
"Myctophum phengodes","(Lütken, 1892)","1"
"Myctophum selenops","Tåning, 1928","1"
"Nannobrachium atrum","(Tåning, 1928)","1"
"Nannobrachium cuprarium","(Tåning, 1928)","1"
"Nannobrachium isaacsi","(Wisner, 1974)","1"
"Notoscopelus caudispinosus","(Johnson, 1863)","1"
"Notoscopelus resplendens","(Richardson, 1845)","1"
"Scopelopsis multipunctatus","Brauer, 1906","1"
"Symbolophorus barnardi","(Tåning, 1932)","1"
"Symbolophorus boops","(Richardson, 1845)","1"
"Taaningichthys minimus","(Tåning, 1928)","1"
"Taaningichthys paurolychnus","Davy, 1972","1"
"Neoscopelus macrolepidotus","Johnson, 1863","1"
"Scopelengys tristis","Alcock, 1890","1"
"Glossanodon polli","Cohen, 1958","1"
"Bathylagichthys problematicus","(Lloris &amp; Rucabado, 1985)","1"
"Leptochilichthys agassizii","Garman, 1899","1"
"Nansenia atlantica","Blache &amp; Rossignol, 1962","1"
"Nansenia tenera","Kawaguchi &amp; Butler, 1984","1"
"Paracaristius maderensis","(Maul, 1949)","1"
"Epigonus pandionis","(Goode &amp; Bean, 1881)","1"
"Sphyraena afra","Peters, 1844","1"
"Arnoglossus capensis","Boulenger, 1898","1"
"Chascanopsetta lugubris","Alcock, 1894","1"
"Monolene mertensi","(Poll, 1959)","1"
"Monolene microstoma","Cadenat, 1937","1"
"Symphurus ligulatus","(Cocco, 1844)","1"
"Chelidonichthys cuculus","(Linnaeus, 1758)","1"
"Cynoglossus zanzibarensis","Norman, 1939","1"
"Symphurus insularis","Munroe, Brito &amp; Hernández, 2000","1"
"Symphurus normani","Chabanaud, 1950","1"
"Symphurus vanmelleae","Chabanaud, 1952","1"
"Syacium guineensis","(Bleeker, 1862)","1"
"Syacium micrurum","Ranzani, 1842","1"
"Bathysolea polli","(Chabanaud, 1950)","1"
"Microchirus wittei","Chabanaud, 1950","1"
"Polymixia nobilis","Lowe, 1838","1"
"Congiopodus spinifer","(Smith, 1839)","1"
"Careproctus albescens","Barnard, 1927","1"
"Solitas gruveli","(Pellegrin, 1905)","1"
"Ebinania costaecanariae","(Cervigón, 1961)","1"
"Psychrolutes inermis","(Vaillant, 1888)","1"
"Pontinus accraensis","Norman, 1935","1"
"Pontinus leda","Eschmeyer, 1969","1"
"Scorpaena angolensis","Norman, 1935","1"
"Scorpaena laevis","Troschel, 1866","1"
"Scorpaena normani","Cadenat, 1943","1"
"Scorpaena stephanica","Cadenat, 1943","1"
"Trachyscorpia eschmeyeri","Whitley, 1970","1"
"Ectreposebastes imus","Garman, 1899","1"
"Setarches guentheri","Johnson, 1862","1"
"Chelidonichthys capensis","(Cuvier, 1829)","1"
"Chelidonichthys gabonensis","(Poll &amp; Roux, 1955)","1"
"Chelidonichthys queketti","(Regan, 1904)","1"
"Lepidotrigla cadmani","Regan, 1915","1"
"Lepidotrigla carolae","Richards, 1968","1"
"Trigloporus lastoviza","(Bonnaterre, 1788)","1"
"Ogilbia tyleri","Møller, Schwarzhans &amp; Nielsen, 2005","1"
"Opisthonema oglinum","(Lesueur, 1818)","1"
"Laemonema barbatulum","Goode &amp; Bean, 1883","1"
"Sargocentron poco","(Woods, 1965)","1"
"Bullisichthys caribbaeus","Rivas, 1971","1"
"Ophidion josephi","Girard, 1858","1"
"Caranx ruber","(Bloch, 1793)","1"
"Anchoa cayorum","(Fowler, 1906)","1"
"Bembrops anatirostris","Ginsburg, 1955","1"
"Caranx bartholomaei","Cuvier, 1833","1"
"Calamopteryx robinsorum","Cohen, 1973","1"
"Diplogrammus pauciradiatus","(Gill, 1865)","1"
"Thalassophryne megalops","Bean &amp; Weed, 1910","1"
"Cubiceps pauciradiatus","Günther, 1872","1"
"Thalassophryne maculosa","Günther, 1861","1"
"Caulolatilus chrysops","(Valenciennes, 1833)","1"
"Aspredinichthys filamentosus","(Valenciennes, 1840)","1"
"Synodus foetens","(Linnaeus, 1766)","1"
"Neoniphon marianus","(Cuvier, 1829)","1"
"Merluccius albidus","(Mitchill, 1818)","1"
"Ogilbia sabaji","Møller, Schwarzhans &amp; Nielsen, 2005","1"
"Chaetodipterus faber","(Broussonet, 1782)","1"
"Opsanus tau","(Linnaeus, 1766)","1"
"Hypoatherina harringtonensis","(Goode, 1877)","1"
"Centropristis ocyurus","(Jordan &amp; Evermann, 1887)","1"
"Ophidion selenops","Robins &amp; Böhlke, 1959","1"
"Bothus ocellatus","(Agassiz, 1831)","1"
"Atherinella milleri","(Bussing, 1979)","1"
"Gephyroberyx darwinii","(Johnson, 1866)","1"
"Aulostomus maculatus","Valenciennes, 1841","1"
"Holocentrus adscensionis","(Osbeck, 1765)","1"
"Otophidium dormitator","Böhlke &amp; Robins, 1959","1"
"Plectrypops retrospinis","(Guichenot, 1853)","1"
"Citharichthys minutus","Cervigón, 1982","1"
"Anchoa spinifer","(Valenciennes, 1848)","1"
"Atherinella blackburni","(Schultz, 1949)","1"
"Holocentrus rufus","(Walbaum, 1792)","1"
"Choranthias tenuis","(Nichols, 1920)","1"
"Lepophidium pheromystax","Robins, 1960","1"
"Callionymus bairdi","Jordan, 1888","1"
"Sargocentron coruscum","(Poey, 1860)","1"
"Ariomma bondi","Fowler, 1930","1"
"Bellator egretta","(Goode &amp; Bean, 1896)","1"
"Caulolatilus guppyi","Beebe &amp; Tee-Van, 1937","1"
"Ophidion holbrookii","Putnam, 1874","1"
"Anchoa lamprotaenia","Hildebrand, 1943","1"
"Anchoa januaria","(Steindachner, 1879)","1"
"Otophidium chickcharney","Böhlke &amp; Robins, 1959","1"
"Sargocentron vexillarium","(Poey, 1860)","1"
"Fowlerichthys ocellatus","(Bloch &amp; Schneider, 1801)","1"
"Citharichthys spilopterus","Günther, 1862","1"
"Lepophidium profundorum","(Gill, 1863)","1"
"Grammonus claudei","(Torre y Huerta, 1930)","1"
"Citharichthys macrops","Dresel, 1885","1"
"Ophidion guianense","Lea &amp; Robins, 2003","1"
"Bothus robinsi","Topp &amp; Hoff, 1972","1"
"Anchoa cubana","(Poey, 1868)","1"
"Porichthys pauciradiatus","Caldwell &amp; Caldwell, 1963","1"
"Ogilbichthys microphthalmus","Møller, Schwarzhans &amp; Nielsen, 2004","1"
"Lepophidium staurophor","Robins, 1959","1"
"Cyttopsis rosea","(Lowe, 1843)","1"
"Argentina striata","Goode &amp; Bean, 1896","1"
"Porichthys plectrodon","Jordan &amp; Gilbert, 1882","1"
"Ophidion lagochila","(Böhlke &amp; Robins, 1959)","1"
"Sanopus barbatus","(Meek &amp; Hildebrand, 1928)","1"
"Fowlerichthys radiosus","(Garman, 1896)","1"
"Anchoa filifera","(Fowler, 1915)","1"
"Lepophidium brevibarbe","(Cuvier, 1829)","1"
"Ostichthys trachypoma","(Günther, 1859)","1"
"Bregmaceros houdei","Saksena &amp; Richards, 1986","1"
"Menidia menidia","(Linnaeus, 1766)","1"
"Foetorepus agassizii","(Goode &amp; Bean, 1888)","1"
"Ogilbichthys longimanus","Møller, Schwarzhans &amp; Nielsen, 2004","1"
"Achirus achirus","(Linnaeus, 1758)","1"
"Bembrops gobioides","(Goode, 1880)","1"
"Anthias nicholsi","Firth, 1933","1"
"Harengula humeralis","(Cuvier, 1829)","1"
"Ophidion dromio","Lea &amp; Robins, 2003","1"
"Achirus declivis","Chabanaud, 1940","1"
"Sargocentron hastatum","(Cuvier, 1829)","1"
"Otophidium omostigma","(Jordan &amp; Gilbert, 1882)","1"
"Elagatis bipinnulata","(Quoy &amp; Gaimard, 1825)","1"
"Saurida caribbaea","Breder, 1927","1"
"Bregmaceros cantori","Milliken &amp; Houde, 1984","1"
"Beryx splendens","Lowe, 1834","1"
"Hemiramphus bermudensis","Collette, 1962","1"
"Engraulis eurystole","(Swain &amp; Meek, 1884)","1"
"Erythrocles monodi","Poll &amp; Cadenat, 1954","1"
"Antennarius pauciradiatus","Schultz, 1957","1"
"Synchiropus dagmarae","Fricke, 1985","1"
"Oligoplites palometa","(Cuvier, 1832)","1"
"Citharichthys arenaceus","Evermann &amp; Marsh, 1900","1"
"Anchoa hepsetus","(Linnaeus, 1758)","1"
"Centropristis striata","(Linnaeus, 1758)","1"
"Anchovia clupeoides","(Swainson, 1839)","1"
"Harengula clupeola","(Cuvier, 1829)","1"
"Centropristis philadelphica","(Linnaeus, 1758)","1"
"Diplectrum formosum","(Linnaeus, 1766)","1"
"Anchoviella perfasciata","(Poey, 1860)","1"
"Citharichthys arctifrons","Goode, 1880","1"
"Bellator militaris","(Goode &amp; Bean, 1896)","1"
"Synagrops spinosus","Schultz, 1940","1"
"Brotula barbata","(Bloch &amp; Schneider, 1801)","1"
"Taractes rubescens","(Jordan &amp; Evermann, 1887)","1"
"Ophidion antipholus","Lea &amp; Robins, 2003","1"
"Carapus bermudensis","(Jones, 1874)","1"
"Atherinella brasiliensis","(Quoy &amp; Gaimard, 1825)","1"
"Bothus maculiferus","(Poey, 1860)","1"
"Citharichthys cornutus","(Günther, 1880)","1"
"Caulolatilus intermedius","Howell Rivero, 1936","1"
"Rhinosardinia amazonica","(Steindachner, 1879)","1"
"Cantherhines macrocerus","(Hollard, 1853)","1"
"Saurida suspicio","Breder, 1927","1"
"Jenkinsia stolifera","(Jordan &amp; Gilbert, 1884)","1"
"Apionichthys dumerili","Kaup, 1858","1"
"Selene brownii","(Cuvier, 1816)","1"
"Selene setapinnis","(Mitchill, 1815)","1"
"Selene vomer","(Linnaeus, 1758)","1"
"Seriola rivoliana","Valenciennes, 1833","1"
"Seriola zonata","(Mitchill, 1815)","1"
"Trachinotus carolinus","(Linnaeus, 1766)","1"
"Trinectes microphthalmus","(Chabanaud, 1928)","1"
"Melanorhinus microps","(Poey, 1860)","1"
"Opsanus dichrostomus","Collette, 2001","1"
"Opsanus phobetron","Walters &amp; Robins, 1961","1"
"Thalassophryne nattereri","Steindachner, 1876","1"
"Brevoortia smithi","Hildebrand, 1941","1"
"Brevoortia tyrannus","(Latrobe, 1802)","1"
"Anchoa colonensis","Hildebrand, 1943","1"
"Anchoviella elongata","(Meek &amp; Hildebrand, 1923)","1"
"Cetengraulis edentulus","(Cuvier, 1829)","1"
"Antennatus bermudensis","(Schultz, 1957)","1"
"Antennarius multiocellatus","(Valenciennes, 1837)","1"
"Lophiodes reticulatus","Caruso &amp; Suttkus, 1979","1"
"Alionematichthys minyomma","(Sedor &amp; Cohen 1987)","1"
"Calamopteryx goslinei","Böhlke &amp; Cohen, 1966","1"
"Ogilbia boehlkei","Møller, Schwarzhans &amp; Nielsen, 2005","1"
"Ogilbia jeffwilliamsi","Møller, Schwarzhans &amp; Nielsen, 2005","1"
"Ogilbia suarezae","Møller, Schwarzhans &amp; Nielsen, 2005","1"
"Ogilbichthys kakuki","Møller, Schwarzhans &amp; Nielsen, 2004","1"
"Echiodon dawsoni","Williams &amp; Shipp, 1982","1"
"Lepophidium aporrhox","Robins, 1961","1"
"Lepophidium jeannae","Fowler, 1941","1"
"Neobythites gilli","Goode &amp; Bean, 1885","1"
"Neobythites marginatus","Goode &amp; Bean, 1886","1"
"Ophidion grayi","(Fowler, 1948)","1"
"Ophidion marginatum","DeKay, 1842","1"
"Ophidion nocomis","Robins &amp; Böhlke, 1959","1"
"Parophidion schmidti","(Woods &amp; Kanazawa, 1951)","1"
"Synagrops trispinosus","Mochizuki &amp; Sano, 1984","1"
"Brama caribbea","Mead, 1972","1"
"Foetorepus goodenbeani","Nakabo &amp; Hartel, 1999","1"
"Decapterus tabl","Berry, 1968","1"
"Hemicaranx amblyrhynchus","(Cuvier, 1833)","1"
"Oligoplites saliens","(Bloch, 1793)","1"
"Trachinotus cayennensis","Cuvier, 1832","1"
"Trachinotus falcatus","(Linnaeus, 1758)","1"
"Lepidocybium flavobrunneum","(Smith, 1843)","1"
"Opistognathus aurifrons","(Jordan &amp; Thompson, 1905)","1"
"Opistognathus gilberti","Böhlke, 1967","1"
"Opistognathus macrognathus","Poey, 1860","1"
"Opistognathus signatus","Smith-Vaniz, 1997","1"
"Hemanthias leptus","(Ginsburg, 1952)","1"
"Plectranthias garrupellus","Robins &amp; Starck, 1961","1"
"Bathyanthias cubensis","(Schultz, 1958)","1"
"Centropristis fuscula","Poey, 1861","1"
"Diplectrum bivittatum","(Valenciennes, 1828)","1"
"Diplectrum radiale","(Quoy &amp; Gaimard, 1824)","1"
"Hypoplectrus aberrans","Poey, 1868","1"
"Hypoplectrus chlorurus","(Cuvier, 1828)","1"
"Hypoplectrus gemma","Goode &amp; Bean, 1882","1"
"Paralabrax dewegeri","(Metzelaar, 1919)","1"
"Serranus atrobranchus","(Cuvier, 1829)","1"
"Serranus baldwini","(Evermann &amp; Marsh, 1899)","1"
"Serranus subligarius","(Cope, 1870)","1"
"Kathetostoma albigutta","Bean, 1892","1"
"Bothus lunatus","(Linnaeus, 1758)","1"
"Symphurus piger","(Goode &amp; Bean, 1886)","1"
"Symphurus plagiusa","(Linnaeus, 1766)","1"
"Symphurus tessellatus","(Quoy &amp; Gaimard, 1824)","1"
"Symphurus urospilus","Ginsburg, 1951","1"
"Ancylopsetta dilecta","(Goode &amp; Bean, 1883)","1"
"Ancylopsetta ommata","(Jordan &amp; Gilbert, 1883)","1"
"Citharichthys valdezi","Cervigón, 1986","1"
"Paralichthys albigutta","Jordan &amp; Gilbert, 1882","1"
"Paralichthys squamilentus","Jordan &amp; Gilbert, 1882","1"
"Syacium gunteri","Ginsburg, 1933","1"
"Scophthalmus aquosus","(Mitchill, 1815)","1"
"Phenacoscorpius nebris","Eschmeyer, 1965","1"
"Pontinus longispinis","Goode &amp; Bean, 1896","1"
"Scorpaena agassizii","Goode &amp; Bean, 1896","1"
"Scorpaena calcarata","Goode &amp; Bean, 1882","1"
"Scorpaena isthmensis","Meek &amp; Hildebrand, 1928","1"
"Prionotus rubio","Jordan, 1886","1"
"Aluterus heudelotii","Hollard, 1855","1"
"Peristedion miniatum","Goode, 1880","1"
"Gempylus serpens","Cuvier, 1829","1"
"Nealotus tripes","Johnson, 1865","1"
"Promethichthys prometheus","(Cuvier, 1832)","1"
"Psenes arafurensis","Günther, 1889","1"
"Lonchopisthus lemur","(Myers, 1935)","1"
"Lonchopisthus micrognathus","(Poey, 1860)","1"
"Lonchopisthus higmani","Mead, 1959","1"
"Opistognathus robinsi","Smith-Vaniz, 1997","1"
"Opistognathus whitehursti","(Longley, 1927)","1"
"Upeneus parvus","Poey, 1852","1"
"Opistognathus lonchurus","Jordan &amp; Gilbert, 1882","1"
"Opistognathus nothus","Smith-Vaniz, 1997","1"
"Pseudupeneus maculatus","(Bloch, 1793)","1"
"Mullus auratus","Jordan &amp; Gilbert, 1882","1"
"Pseudocaranx dentex","(Bloch &amp; Schneider, 1801)","1"
"Trachurus lathami","Nichols, 1920","1"
"Ruvettus pretiosus","Cocco, 1833","1"
"Kyphosus sectatrix","(Linnaeus, 1758)","1"
"Lobotes surinamensis","(Bloch, 1790)","1"
"Gnathodentex aureolineatus","(Lacepède, 1802)","1"
"Gymnocranius microdon","(Bleeker, 1851)","1"
"Gymnocranius grandoculis","(Valenciennes, 1830)","1"
"Gymnocranius griseus","(Temminck &amp; Schlegel, 1843)","1"
"Gymnocranius elongatus","Senta, 1973","1"
"Gymnocranius euanus","(Günther, 1879)","1"
"Gymnocranius audleyi","Ogilby, 1916","1"
"Lethrinus crocineus","Smith, 1959","1"
"Lethrinus semicinctus","Valenciennes, 1830","1"
"Lethrinus erythracanthus","Valenciennes, 1830","1"
"Lethrinus lentjan","(Lacepède, 1802)","1"
"Lethrinus xanthochilus","Klunzinger, 1870","1"
"Lethrinus miniatus","(Forster, 1801)","1"
"Lethrinus rubrioperculatus","Sato, 1978","1"
"Lethrinus nebulosus","(Forsskål, 1775)","1"
"Lethrinus atkinsoni","Seale, 1910","1"
"Lethrinus amboinensis","Bleeker, 1854","1"
"Lethrinus microdon","Valenciennes, 1830","1"
"Lethrinus borbonicus","Valenciennes, 1830","1"
"Lethrinus variegatus","Valenciennes, 1830","1"
"Lethrinus harak","(Forsskål, 1775)","1"
"Lethrinus ravus","Carpenter &amp; Randall, 2003","1"
"Lethrinus olivaceus","Valenciennes, 1830","1"
"Lethrinus laticaudis","Alleyne &amp; Macleay, 1877","1"
"Lethrinus obsoletus","(Forsskål, 1775)","1"
"Lethrinus atlanticus","Valenciennes, 1830","1"
"Lethrinus reticulatus","Valenciennes, 1830","1"
"Lethrinus erythropterus","Valenciennes, 1830","1"
"Lethrinus ornatus","Valenciennes, 1830","1"
"Monotaxis heterodon","(Bleeker, 1854)","1"
"Monotaxis grandoculis","(Forsskål, 1775)","1"
"Wattsia mossambica","(Smith, 1957)","1"
"Pempheris poeyi","Bean, 1885","1"
"Baldwinella aureorubens","(Longley, 1935)","1"
"Pempheris schomburgkii","Müller &amp; Troschel, 1848","1"
"Symphurus marginatus","(Goode &amp; Bean, 1886)","1"
"Polymixia lowei","Günther, 1859","1"
"Baldwinella vivanus","(Jordan &amp; Swain, 1885)","1"
"Hypoplectrus gummigutta","(Poey, 1851)","1"
"Hypoplectrus indigo","(Poey, 1851)","1"
"Hypoplectrus guttavarius","(Poey, 1852)","1"
"Hypoplectrus nigricans","(Poey, 1852)","1"
"Hypoplectrus puella","(Cuvier, 1828)","1"
"Hypoplectrus randallorum","Lobel, 2011","1"
"Hypoplectrus unicolor","(Walbaum, 1792)","1"
"Liopropoma carmabi","(Randall, 1963)","1"
"Liopropoma eukrines","(Starck &amp; Courtenay, 1962)","1"
"Liopropoma mowbrayi","Woods &amp; Kanazawa, 1951","1"
"Liopropoma rubre","Poey, 1861","1"
"Parasphyraenops atrimanus","Bean, 1912","1"
"Parasphyraenops incisus","(Colin, 1978)","1"
"Pronotogrammus martinicensis","(Guichenot, 1868)","1"
"Pseudogramma gregoryi","(Breder, 1927)","1"
"Rypticus bistrispinus","(Mitchill, 1818)","1"
"Rypticus bornoi","Beebe &amp; Tee-Van, 1928","1"
"Rypticus maculatus","Holbrook, 1855","1"
"Rypticus randalli","Courtenay, 1967","1"
"Rypticus subbifrenatus","Gill, 1861","1"
"Schultzea beta","(Hildebrand, 1940)","1"
"Serraniculus pumilio","Ginsburg, 1952","1"
"Serranus annularis","(Günther, 1880)","1"
"Serranus chionaraia","Robins &amp; Starck, 1961","1"
"Serranus flaviventris","(Cuvier, 1829)","1"
"Serranus luciopercanus","Poey, 1852","1"
"Serranus notospilus","Longley, 1935","1"
"Serranus phoebe","Poey, 1851","1"
"Serranus tabacarius","(Cuvier, 1829)","1"
"Serranus tortugarum","Longley, 1935","1"
"Peprilus burti","Fowler, 1944","1"
"Symphysanodon berryi","Anderson, 1970","1"
"Kathetostoma cubana","Barbour, 1941","1"
"Gymnachirus melas","Nichols, 1916","1"
"Gymnachirus nudus","Kaup, 1858","1"
"Trinectes inscriptus","(Gosse, 1851)","1"
"Engyophrys senta","Ginsburg, 1933","1"
"Monolene atrimana","Goode &amp; Bean, 1886","1"
"Monolene megalepis","Woods, 1961","1"
"Monolene sessilicauda","Goode, 1880","1"
"Trichopsetta caribbaea","Anderson &amp; Gutherz, 1967","1"
"Symphurus arawak","Robins &amp; Randall, 1965","1"
"Symphurus billykrietei","Munroe, 1998","1"
"Symphurus caribbeanus","Munroe, 1991","1"
"Symphurus civitatium","Ginsburg, 1951","1"
"Symphurus diomedeanus","(Goode &amp; Bean, 1885)","1"
"Symphurus minor","Ginsburg, 1951","1"
"Symphurus ommaspilus","Böhlke, 1961","1"
"Symphurus parvus","Ginsburg, 1951","1"
"Symphurus pelicanus","Ginsburg, 1951","1"
"Symphurus plagusia","(Bloch &amp; Schneider, 1801)","1"
"Symphurus pusillus","(Goode &amp; Bean, 1885)","1"
"Symphurus rhytisma","Böhlke, 1961","1"
"Etropus crossotus","Jordan &amp; Gilbert, 1882","1"
"Etropus cyclosquamus","Leslie &amp; Stewart, 1986","1"
"Gastropsetta frontalis","Bean, 1895","1"
"Paralichthys oblongus","(Mitchill, 1815)","1"
"Syacium papillosum","(Linnaeus, 1758)","1"
"Polydactylus octonemus","(Girard, 1858)","1"
"Polydactylus oligodon","(Günther, 1860)","1"
"Peristedion brevirostre","(Günther, 1860)","1"
"Peristedion gracile","Goode &amp; Bean, 1896","1"
"Peristedion longispatha","Goode &amp; Bean, 1886","1"
"Neomerinthe beanorum","(Evermann &amp; Marsh, 1900)","1"
"Pontinus castor","Poey, 1860","1"
"Pontinus nematophthalmus","(Günther, 1860)","1"
"Pontinus rathbuni","Goode &amp; Bean, 1896","1"
"Scorpaena albifimbria","Evermann &amp; Marsh, 1900","1"
"Scorpaena bergii","Evermann &amp; Marsh, 1900","1"
"Scorpaena brachyptera","Eschmeyer, 1965","1"
"Scorpaena brasiliensis","Cuvier, 1829","1"
"Scorpaena dispar","Longley &amp; Hildebrand, 1940","1"
"Scorpaena elachys","Eschmeyer, 1965","1"
"Scorpaena grandicornis","Cuvier, 1829","1"
"Scorpaena inermis","Cuvier, 1829","1"
"Scorpaena plumieri","Bloch, 1789","1"
"Scorpaenodes caribbaeus","Meek &amp; Hildebrand, 1928","1"
"Scorpaenodes tredecimspinosus","(Metzelaar, 1919)","1"
"Prionotus alatus","Goode &amp; Bean, 1883","1"
"Prionotus beanii","Goode, 1896","1"
"Prionotus carolinus","(Linnaeus, 1771)","1"
"Prionotus evolans","(Linnaeus, 1766)","1"
"Prionotus ophryas","Jordan &amp; Swain, 1885","1"
"Prionotus punctatus","(Bloch, 1793)","1"
"Prionotus roseus","Jordan &amp; Evermann, 1887","1"
"Prionotus scitulus","Jordan &amp; Gilbert, 1882","1"
"Prionotus stearnsi","Jordan &amp; Swain, 1885","1"
"Prionotus tribulus","Cuvier, 1829","1"
"Fistularia tabacaria","Linnaeus, 1758","1"
"Stephanolepis setifer","(Bennett, 1831)","1"
"Xenolepidichthys dalgleishi","Gilchrist, 1922","1"
"Rypticus carpenteri","Baldwin &amp; Weigt, 2012","1"
"Prionurus laticlavius","(Valenciennes, 1846)","1"
"Prionurus punctatus","Gill, 1862","1"
"Acanthurus gahhm","(Forsskål, 1775)","1"
"Naso vlamingii","(Valenciennes, 1835)","1"
"Heteroscarus acroptilus","(Richardson, 1846)","1"
"Neoodax balteatus","(Valenciennes, 1840)","1"
"Haletta semifasciata","(Valenciennes, 1840)","1"
"Olisthops cyanomelas","Richardson, 1850","1"
"Siphonognathus caninis","(Scott, 1976)","1"
"Odax cyanoallix","Ayling &amp; Paxton, 1983","1"
"Odax pullus","(Forster, 1801)","1"
"Siphonognathus radiatus","(Quoy &amp; Gaimard, 1834)","1"
"Siphonognathus argyrophanes","Richardson, 1858","1"
"Siphonognathus attenuatus","(Ogilby, 1897)","1"
"Scarus arabicus","(Steindachner, 1902)","1"
"Chlorurus frontalis","(Valenciennes, 1840)","1"
"Chlorurus rhakoura","Randall &amp; Anderson, 1997","1"
"Sparisoma atomarium","(Poey, 1861)","1"
"Scarus persicus","Randall &amp; Bruce, 1983","1"
"Scarus caudofasciatus","(Günther, 1862)","1"
"Scarus frenatus","Lacepède, 1802","1"
"Leptoscarus vaigiensis","(Quoy &amp; Gaimard, 1824)","1"
"Chlorurus gibbus","(Rüppell, 1829)","1"
"Scarus koputea","Randall &amp; Choat, 1980","1"
"Scarus ferrugineus","Forsskål, 1775","1"
"Cryptotomus roseus","Cope, 1871","1"
"Chlorurus genazonatus","(Randall &amp; Bruce, 1983)","1"
"Sparisoma tuiupiranga","Gasparini, Joyeux &amp; Floeter, 2003","1"
"Scarus longipinnis","Randall &amp; Choat, 1980","1"
"Hipposcarus harid","(Forsskål, 1775)","1"
"Sparisoma viride","(Bonnaterre, 1788)","1"
"Scarus psittacus","Forsskål, 1775","1"
"Sparisoma aurofrenatum","(Valenciennes, 1840)","1"
"Nicholsina usta","(Valenciennes, 1840)","1"
"Scarus rubroviolaceus","Bleeker, 1847","1"
"Scarus iseri","(Bloch, 1789)","1"
"Scarus xanthopleura","Bleeker, 1853","1"
"Scarus altipinnis","(Steindachner, 1879)","1"
"Chlorurus spilurus","(Valenciennes 1840)","1"
"Chlorurus microrhinos","(Bleeker, 1854)","1"
"Sparisoma rubripinne","(Valenciennes, 1840)","1"
"Scarus falcipinnis","(Playfair, 1868)","1"
"Sparisoma amplum","(Ranzani, 1841)","1"
"Scarus taeniopterus","Lesson, 1829","1"
"Scarus pyrrostethus","Richardson, 1846","1"
