"genus_species","iucn_authority","iucn_category"
"Eugerres periche","(Evermann &amp; Radcliffe, 1917)","dd"
"Callechelys cliffi","Böhlke &amp; Briggs, 1954","dd"
"Hypsoblennius maculipinna","(Regan 1903)","dd"
"Parrella fusca","Ginsburg, 1939","dd"
"Elacatinus limbaughi","Hoese &amp; Reader, 2001","dd"
"Gobionellus daguae","(Eigenmann, 1918)","dd"
"Notarius insculptus","(Jordan &amp; Gilbert, 1883)","dd"
"Paralichthys woolmani","Jordan &amp; Williams, 1897","dd"
"Pherallodiscus varius","Briggs, 1955","dd"
"Cryptotrema seftoni","Hubbs, 1954","dd"
"Trinectes opercularis","(Nichols &amp; Murphy, 1944)","dd"
"Bollmannia ocellata","Gilbert, 1892","dd"
"Emblemaria nivipes","Jordan &amp; Gilbert, 1883","dd"
"Pycnomma semisquamatum","Rutter, 1904","dd"
"Notarius lentiginosus","(Eigenmann &amp; Eigenmann, 1888)","dd"
"Orthopristis lethopristis","Jordan &amp; Fesler, 1889","dd"
"Evermannia panamensis","Gilbert &amp; Starks, 1904","dd"
"Pomadasys empherus","Bussing, 1993","dd"
"Paralabrax auroguttatus","Walford 1936","dd"
"Scorpaena guttata","Girard 1854","dd"
"Malacoctenus costaricanus","Springer, 1959","dd"
"Protemblemaria perla","Hastings, 2001","dd"
"Cathorops tuyra","(Meek &amp; Hildebrand, 1923)","dd"
"Paralabrax humeralis","(Valenciennes, 1828)","dd"
"Leuropharus lasiops","Rosenblatt &amp; McCosker, 1970","dd"
"Bollmannia longpinnus","Ginsburg, 1939","dd"
"Cerdale ionthas","Jordan &amp; Gilbert, 1882","dd"
"Akko brevis","(Günther, 1864)","dd"
"Citharichthys gordae","Beebe &amp; Tee-Van, 1938","dd"
"Hemilutjanus macrophthalmos","(Tschudi, 1846)","dd"
"Akko rossi","Van Tassell &amp; Baldwin, 2004","dd"
"Bollmannia umbrosa","Ginsburg, 1939","dd"
"Citharichthys gnathus","Hoshino &amp; Amaoka 1999","dd"
"Ekemblemaria lira","Hastings, 1992","dd"
"Opistognathus fenmutis","Acero P. &amp; Franke, 1993","dd"
"Ethadophis byrnei","Rosenblatt &amp; McCosker, 1970","dd"
"Callechelys galapagensis","McCosker &amp; Rosenblatt, 1972","dd"
"Ophichthus apachus","McCosker &amp; Rosenblatt, 1998","dd"
"Leptenchelys vermiformis","Myers &amp; Wade, 1941","dd"
"Bollmannia macropoma","Gilbert, 1892","dd"
"Lythrypnus alphigena","Bussing, 1990","dd"
"Pomadasys schyrii","Steindachner, 1900","dd"
"Evermannia erici","Bussing, 1983","dd"
"Guavina micropus","Ginsburg, 1953","dd"
"Orthopristis cantharinus","(Jenyns, 1840)","dd"
"Paraclinus ditrichus","Rosenblatt &amp; Parr, 1969","dd"
"Starksia hoesei","Rosenblatt &amp; Taylor, 1971","dd"
"Chriolepis cuneata","Bussing, 1990","dd"
"Labrisomus pomaspilus","Springer &amp; Rosenblatt, 1965","dd"
"Parrella ginsburgi","Wade, 1946","dd"
"Monolene asaedai","Clark 1936","dd"
"Trachurus murphyi","Nichols, 1920","dd"
"Gymnothorax serratidens","(Hildebrand &amp; Barton, 1949)","dd"
