"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"5474","Promethichthys prometheus","Promethichthys","Gempylidae","Perciformes","Teleostei","(Cuvier, 1832)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1,440
"5475","Psenes arafurensis","Psenes","Nomeidae","Perciformes","Teleostei","G<fc>nther, 1889","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.25,325
"5476","Lonchopisthus lemur","Lonchopisthus","Opistognathidae","Perciformes","Teleostei","(Myers, 1935)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1030000019,212
"5477","Lonchopisthus micrognathus","Lonchopisthus","Opistognathidae","Perciformes","Teleostei","(Poey, 1860)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1779999924,NA
"5478","Lonchopisthus higmani","Lonchopisthus","Opistognathidae","Perciformes","Teleostei","Mead, 1959","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.135,NA
"5479","Opistognathus robinsi","Opistognathus","Opistognathidae","Perciformes","Teleostei","Smith-Vaniz, 1997","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1311999989,NA
"5480","Opistognathus whitehursti","Opistognathus","Opistognathidae","Perciformes","Teleostei","(Longley, 1927)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.14,6.5
"5481","Upeneus parvus","Upeneus","Mullidae","Perciformes","Teleostei","Poey, 1852","1",1.6,6,74.4165,93,NA,3.9,75.5,"demersal",0.3,NA
"5482","Opistognathus lonchurus","Opistognathus","Opistognathidae","Perciformes","Teleostei","Jordan &amp; Gilbert, 1882","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,NA
"5483","Opistognathus nothus","Opistognathus","Opistognathidae","Perciformes","Teleostei","Smith-Vaniz, 1997","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07900000095,96
"5484","Pseudupeneus maculatus","Pseudupeneus","Mullidae","Perciformes","Teleostei","(Bloch, 1793)","1",2.8,11,64.9666,64,NA,3.5,NA,"reef-associated",0.3,NA
"5485","Mullus auratus","Mullus","Mullidae","Perciformes","Teleostei","Jordan &amp; Gilbert, 1882","1",1.5,5.4,68.0753,50,NA,NA,NA,"demersal",0.25,NA
"5486","Pseudocaranx dentex","Pseudocaranx","Carangidae","Perciformes","Teleostei","(Bloch &amp; Schneider, 1801)","1",10,48.1,85.245,347,"omnivorous",3.9,18120,"reef-associated",0.5,102
"5487","Trachurus lathami","Trachurus","Carangidae","Perciformes","Teleostei","Nichols, 1920","1",3,11.3,91.0133,56,NA,4,500,"reef-associated",0.4,NA
"5488","Ruvettus pretiosus","Ruvettus","Gempylidae","Perciformes","Teleostei","Cocco, 1833","1",9,48.4,91.695,359,"carnivorous",4.2,63500,"benthopelagic",1.05,390
"5489","Kyphosus sectatrix",NA,NA,NA,NA,"(Linnaeus, 1758)","1",NA,NA,NA,NA,"omnivorous",2,6010,"reef-associated",0.55,8.5
"5490","Lobotes surinamensis","Lobotes","Lobotidae","Perciformes","Teleostei","(Bloch, 1790)","1",NA,NA,NA,NA,"carnivorous",4,19200,"benthopelagic",0.8,5.5
"5491","Gnathodentex aureolineatus","Gnathodentex","Lethrinidae","Perciformes","Teleostei","(Lacep<e8>de, 1802)","1",1.8,6.8,51.55,163,NA,3.3,NA,"reef-associated",0.3,NA
"5492","Gymnocranius microdon","Gymnocranius","Lethrinidae","Perciformes","Teleostei","(Bleeker, 1851)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.45,32.5
"5493","Gymnocranius grandoculis","Gymnocranius","Lethrinidae","Perciformes","Teleostei","(Valenciennes, 1830)","1",NA,NA,NA,NA,NA,NA,5500,"reef-associated",0.8,95
"5494","Gymnocranius griseus","Gymnocranius","Lethrinidae","Perciformes","Teleostei","(Temminck &amp; Schlegel, 1843)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.35,47.5
"5495","Gymnocranius elongatus","Gymnocranius","Lethrinidae","Perciformes","Teleostei","Senta, 1973","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,75
"5496","Gymnocranius euanus","Gymnocranius","Lethrinidae","Perciformes","Teleostei","(G<fc>nther, 1879)","1",3.2,13,54.7223,48,NA,3.4,NA,"reef-associated",0.45,NA
"5497","Gymnocranius audleyi","Gymnocranius","Lethrinidae","Perciformes","Teleostei","Ogilby, 1916","1",1.4,5.1,16.6,22,NA,3.4,NA,"reef-associated",0.4,NA
"5498","Lethrinus crocineus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Smith, 1959","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,77.5
"5499","Lethrinus semicinctus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.35,19.5
"5500","Lethrinus erythracanthus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",3.4,14.3,50.6,126,NA,3.4,NA,"reef-associated",0.7,NA
"5501","Lethrinus lentjan","Lethrinus","Lethrinidae","Perciformes","Teleostei","(Lacep<e8>de, 1802)","1",2.2,8.6,57.2967,147,NA,4.2,NA,"reef-associated",0.52,NA
"5502","Lethrinus xanthochilus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Klunzinger, 1870","1",NA,NA,NA,NA,NA,NA,5440,"reef-associated",0.7,77.5
"5503","Lethrinus miniatus","Lethrinus","Lethrinidae","Perciformes","Teleostei","(Forster, 1801)","1",3.9,16.9,63.9617,147,NA,3.5,9600,"reef-associated",0.9,NA
"5504","Lethrinus rubrioperculatus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Sato, 1978","1",3.3,12.9,53.8133,156,NA,3.6,NA,"reef-associated",0.5,NA
"5505","Lethrinus nebulosus","Lethrinus","Lethrinidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",3.2,13.6,69.0283,154,NA,3.3,8400,"reef-associated",0.87,NA
"5506","Lethrinus atkinsoni","Lethrinus","Lethrinidae","Perciformes","Teleostei","Seale, 1910","1",2.3,9.2,52.09,74,NA,3.5,NA,"reef-associated",0.5,NA
"5507","Lethrinus amboinensis","Lethrinus","Lethrinidae","Perciformes","Teleostei","Bleeker, 1854","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.7,17.5
"5508","Lethrinus microdon","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",NA,NA,NA,NA,NA,NA,4850,"reef-associated",0.8,45
"5509","Lethrinus borbonicus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",2.3,8.9,61.0167,46,NA,3.5,NA,"reef-associated",0.4,NA
"5510","Lethrinus variegatus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,75.5
"5511","Lethrinus harak","Lethrinus","Lethrinidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,10
"5512","Lethrinus ravus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Carpenter &amp; Randall, 2003","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.25,20
"5513","Lethrinus olivaceus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",2.6,11.5,55.3,149,NA,3.8,14000,"reef-associated",1,NA
"5514","Lethrinus laticaudis","Lethrinus","Lethrinidae","Perciformes","Teleostei","Alleyne &amp; Macleay, 1877","1",2.9,11.9,51.3402,105,NA,4.5,NA,"reef-associated",0.56,NA
"5515","Lethrinus obsoletus","Lethrinus","Lethrinidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",2,7.5,58.2257,152,NA,3.4,NA,"reef-associated",0.6,NA
"5516","Lethrinus atlanticus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,25.5
"5517","Lethrinus reticulatus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4,17.5
"5518","Lethrinus erythropterus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",2.7,11,49.67,123,NA,3.7,NA,"reef-associated",0.5,NA
"5519","Lethrinus ornatus","Lethrinus","Lethrinidae","Perciformes","Teleostei","Valenciennes, 1830","1",1.4,5.2,45.1688,75,NA,3.4,NA,"reef-associated",0.45,NA
"5520","Monotaxis heterodon",NA,NA,NA,NA,"(Bleeker, 1854)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"5521","Monotaxis grandoculis","Monotaxis","Lethrinidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",3.1,13,56.9733,185,NA,3.2,5890,"reef-associated",0.6,NA
"5522","Wattsia mossambica","Wattsia","Lethrinidae","Perciformes","Teleostei","(Smith, 1957)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.55,150
"5523","Pempheris poeyi","Pempheris","Pempheridae","Perciformes","Teleostei","Bean, 1885","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,NA
"5524","Baldwinella aureorubens",NA,NA,NA,NA,"(Longley, 1935)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,365
"5525","Pempheris schomburgkii","Pempheris","Pempheridae","Perciformes","Teleostei","M<fc>ller &amp; Troschel, 1848","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,16.5
"5526","Symphurus marginatus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","(Goode &amp; Bean, 1886)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1460000038,393.5
"5527","Polymixia lowei","Polymixia","Polymixiidae","Polymixiiformes","Teleostei","G<fc>nther, 1859","1",3.3,11.7,79.5712,92,NA,4,NA,"bathydemersal",0.2,NA
"5528","Baldwinella vivanus",NA,NA,NA,NA,"(Jordan &amp; Swain, 1885)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.25,327.5
