"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"10200","Eviota maculibotella",NA,NA,NA,NA,"Greenfield &amp; Winterbottom, 2016","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.01580000043,4
"10201","Eviota masudai",NA,NA,NA,NA,"Matsuura &amp; Senou, 2006","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.0324000001,33
"10202","Eviota natalis",NA,NA,NA,NA,"Allen, 2007","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02119999886,11.5
"10203","Eviota punyit",NA,NA,NA,NA,"Tornabene, Valdez &amp; Erdmann, 2016","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"10204","Eviota readerae",NA,NA,NA,NA,"Gill &amp; Jewett, 2004","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.01789999962,15
"10205","Oligolepis acutipennis","Oligolepis","Gobiidae","Perciformes","Teleostei","(Valenciennes, 1837)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA
"10206","Redigobius balteatus","Redigobius","Gobiidae","Perciformes","Teleostei","(Herre, 1935)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03799999952,2.5
"10207","Mulloidichthys ayliffe",NA,NA,NA,NA,"Uiblein, 2011","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.245,18
"10208","Upeneus pori","Upeneus","Mullidae","Perciformes","Teleostei","Ben-Tuvia &amp; Golani, 1989","1",NA,NA,NA,NA,"carnivorous",4.4,NA,"demersal",0.07,25.5
"10209","Apeltes quadracus","Apeltes","Gasterosteidae","Gasterosteiformes","Teleostei","(Mitchill, 1815)","1",1.2,3.3,13.1019,30,NA,3.2,NA,"benthopelagic",0.064,NA
"10210","Chanos chanos","Chanos","Chanidae","Gonorynchiformes","Teleostei","(Forssk<e5>l, 1775)","1",5.9,29.1,66.665,250,NA,2,14000,"benthopelagic",1.8,NA
"10211","Etropus longimanus","Etropus","Paralichthyidae","Pleuronectiformes","Teleostei","Norman, 1933","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.155,NA
"10212","Etropus microstomus","Etropus","Paralichthyidae","Pleuronectiformes","Teleostei","(Gill, 1864)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,NA
"10213","Scorpaena hemilepidota","Scorpaena","Scorpaenidae","Scorpaeniformes","Teleostei","Fowler, 1938","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"10214","Anguilla reinhardtii","Anguilla","Anguillidae","Anguilliformes","Teleostei","Steindachner, 1867","1",19,96.7,30.2967,18,NA,3.6,22000,"demersal",1.65,NA
"10215","Upeneus randalli",NA,NA,NA,NA,"Uiblein &amp; Heemstra, 2011","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1010000038,NA
"10216","Ancylopsetta dendritica","Ancylopsetta","Paralichthyidae","Pleuronectiformes","Teleostei","Gilbert 1890","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,59
"10217","Etropus ectenes","Etropus","Paralichthyidae","Pleuronectiformes","Teleostei","Jordan 1889","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,NA
"10218","Hippoglossina macrops","Hippoglossina","Paralichthyidae","Pleuronectiformes","Teleostei","Steindachner 1876","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,317.5
"10219","Hippoglossina tetrophthalma","Hippoglossina","Paralichthyidae","Pleuronectiformes","Teleostei","(Gilbert 1890)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.36,NA
"10220","Syacium latifrons","Syacium","Paralichthyidae","Pleuronectiformes","Teleostei","(Jordan &amp; Gilbert, 1882)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.28,60
"10221","Syacium longidorsale","Syacium","Paralichthyidae","Pleuronectiformes","Teleostei","Murakami &amp; Amaoka, 1992","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,25.5
"10222","Syacium ovale","Syacium","Paralichthyidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1864)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.23,35
"10223","Arnoglossus rueppelii","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","(Cocco, 1844)","1",2.2,7.4,8.4042,15,"carnivorous",4,NA,"demersal",0.15,375
"10224","Bothus leopardinus","Bothus","Bothidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1862)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.235,88
"10225","Bothus mancus","Bothus","Bothidae","Pleuronectiformes","Teleostei","(Broussonet, 1782)","1",NA,NA,NA,NA,NA,NA,1750,"reef-associated",0.51,76.5
"10226","Chascanopsetta crumenalis","Chascanopsetta","Bothidae","Pleuronectiformes","Teleostei","(Gilbert &amp; Cramer, 1897)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,541.5
"10227","Engyophrys sanctilaurentii","Engyophrys","Bothidae","Pleuronectiformes","Teleostei","Jordan &amp; Bollman, 1890","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,139
"10228","Monolene maculipinna","Monolene","Bothidae","Pleuronectiformes","Teleostei","Garman 1899","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.18,294.5
"10229","Perissias taeniopterus","Perissias","Bothidae","Pleuronectiformes","Teleostei","(Gilbert, 1890)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.11,101.5
"10230","Eopsetta jordani","Eopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","(Lockington, 1879)","1",4,17.1,28.2417,59,NA,4,3700,"demersal",0.53,NA
"10231","Lyopsetta exilis","Lyopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","(Jordan &amp; Gilbert 1880)","1",4.2,15.9,27.8735,49,NA,3.4,NA,"bathydemersal",0.35,NA
"10232","Paralichthodes algoensis","Paralichthodes","Paralichthodidae","Pleuronectiformes","Teleostei","Gilchrist, 1902","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5,50.5
"10233","Citharichthys sordidus","Citharichthys","Paralichthyidae","Pleuronectiformes","Teleostei","(Girard, 1854)","1",2.5,9.4,36.92,64,NA,3.4,NA,"demersal",0.41,NA
"10234","Citharichthys xanthostigma","Citharichthys","Paralichthyidae","Pleuronectiformes","Teleostei","Gilbert, 1890","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,101.5
"10235","Paralichthys brasiliensis","Paralichthys","Paralichthyidae","Pleuronectiformes","Teleostei","(Ranzani, 1842)","1",3.5,16,40.55,29,NA,NA,12000,"demersal",1,NA
"10236","Paralichthys fernandezianus","Paralichthys","Paralichthyidae","Pleuronectiformes","Teleostei","Steindachner, 1903","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"10237","Paralichthys microps","Paralichthys","Paralichthyidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1881)","1",1.8,7,NA,NA,NA,NA,798,"demersal",0.41,NA
"10238","Pseudorhombus argus","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","Weber, 1913","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,45.5
"10239","Pseudorhombus cinnamoneus","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","(Temminck &amp; Schlegel, 1846)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,92
"10240","Pseudorhombus diplospilus","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","Norman, 1926","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4,42.5
"10241","Pseudorhombus jenynsii","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","(Bleeker, 1855)","1",NA,NA,NA,NA,NA,NA,1471,"demersal",0.34,NA
"10242","Pseudorhombus levisquamis","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","(Oshima, 1927)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2673999977,NA
"10243","Pseudorhombus megalops","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","Fowler, 1934","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.22,235
"10244","Pseudorhombus neglectus","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","Bleeker, 1865","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,35
"10245","Pseudorhombus oculocirris","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","Amaoka, 1969","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"10246","Pseudorhombus oligodon","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","(Bleeker, 1854)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,35
"10247","Pseudorhombus pentophthalmus","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","G<fc>nther, 1862","1",1.2,3.8,26.2,22,NA,4,208.6999969,"demersal",0.18,NA
"10248","Pseudorhombus quinquocellatus","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","Weber &amp; de Beaufort, 1929","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,NA
"10249","Pseudorhombus spinosus","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","McCulloch, 1914","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA
"10250","Pseudorhombus tenuirastrum","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Teleostei","(Waite, 1899)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,15
"10251","Tarphops elegans","Tarphops","Paralichthyidae","Pleuronectiformes","Teleostei","Amaoka, 1969","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"10252","Tarphops oligolepis","Tarphops","Paralichthyidae","Pleuronectiformes","Teleostei","(Bleeker, 1858)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06480000019,NA
"10253","Thysanopsetta naresi","Thysanopsetta","Paralichthyidae","Pleuronectiformes","Teleostei","G<fc>nther, 1880","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1510000038,130
"10254","Acanthopsetta nadeshnyi","Acanthopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","Schmidt, 1904","1",7.1,28.7,5.6264,7,NA,3.3,1200,"demersal",0.46,NA
"10255","Atheresthes evermanni","Atheresthes","Pleuronectidae","Pleuronectiformes","Teleostei","Jordan &amp; Starks, 1904","1",NA,NA,NA,NA,NA,NA,8500,"demersal",1,610
"10256","Atheresthes stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Teleostei","(Jordan &amp; Gilbert, 1880)","1",5.9,26.3,63.097,237,NA,4.3,8600,"demersal",0.84,NA
"10257","Dexistes rikuzenius","Dexistes","Pleuronectidae","Pleuronectiformes","Teleostei","Jordan &amp; Starks, 1904","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.22,121
"10258","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Teleostei","Lockington, 1879","1",6.3,26.2,28.395,116,NA,3.2,2000,"demersal",0.6,NA
"10259","Hippoglossoides dubius","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Teleostei","Schmidt, 1904","1",5.1,22,12.7111,15,NA,3.6,NA,"demersal",0.45,NA
"10260","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Teleostei","Jordan &amp; Gilbert, 1880","1",2.1,8.2,65.18,237,NA,3.6,1560,"demersal",0.52,NA
"10261","Cleisthenes pinetorum","Cleisthenes","Pleuronectidae","Pleuronectiformes","Teleostei","Jordan &amp; Starks, 1904","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3859999847,125
"10262","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Teleostei","Gill &amp; Townsend, 1897","1",3.3,13.2,27.2322,110,NA,3.1,NA,"demersal",0.3,NA
"10263","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Teleostei","Schmidt, 1904","1",9.5,48.2,72.2,242,NA,4.1,363000,"demersal",2.58,NA
"10264","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","(Lockington, 1880)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.55,222.5
"10265","Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","(Ayres, 1855)","1",4.5,19,62.1286,298,NA,3.2,1800,"demersal",0.58,NA
"10266","Lepidopsetta mochigarei","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","Snyder, 1911","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4,NA
"10267","Lepidopsetta polyxystra","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","Orr &amp; Matarese, 2000","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.69,350
"10268","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Teleostei","(Pallas, 1814)","1",5,20.3,72.5,292,NA,3.2,1700,"demersal",0.49,NA
"10269","Limanda sakhalinensis","Limanda","Pleuronectidae","Pleuronectiformes","Teleostei","Hubbs, 1915","1",NA,NA,NA,NA,NA,NA,500,"demersal",0.36,185
"10270","Liopsetta putnami","Liopsetta","Pleuronectidae","Pleuronectiformes","Teleostei","(Gill, 1864)","1",2.6,9.8,13.1336,16,NA,3.4,NA,NA,0.3,NA
"10271","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Teleostei","(Lockington, 1879)","1",2.7,11,29.7858,71,NA,3.3,3500,"demersal",0.76,NA
"10272","Microstomus shuntovi","Microstomus","Pleuronectidae","Pleuronectiformes","Teleostei","Borets, 1983","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,280
"10273","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Teleostei","Girard, 1854","1",3,11.7,29.5616,62,NA,3.4,1500,"demersal",0.49,NA
"10274","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Teleostei","Pallas, 1814","1",NA,NA,NA,NA,NA,NA,3500,"bathydemersal",0.87,300
"10275","Pleuronichthys coenosus","Pleuronichthys","Pleuronectidae","Pleuronectiformes","Teleostei","Girard, 1854","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.36,184
"10276","Pleuronichthys decurrens","Pleuronichthys","Pleuronectidae","Pleuronectiformes","Teleostei","Jordan &amp; Gilbert, 1881","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.37,270.5
"10277","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Teleostei","Girard, 1854","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.63,163
"10278","Pseudopleuronectes herzensteini","Pseudopleuronectes","Pleuronectidae","Pleuronectiformes","Teleostei","(Jordan &amp; Snyder, 1901)","1",3.5,14.3,3.3,6,NA,NA,1300,"demersal",0.5,NA
"10279","Pseudopleuronectes schrenki","Pseudopleuronectes","Pleuronectidae","Pleuronectiformes","Teleostei","(Schmidt, 1904)","1",4.6,19,2.635,3,NA,NA,2500,"demersal",0.5,NA
"10280","Poecilopsetta plinthus","Poecilopsetta","Poecilopsettidae","Pleuronectiformes","Teleostei","(Jordan &amp; Starks, 1904)","1",1.9,6.4,69.7028,40,NA,3.5,NA,"demersal",0.19,NA
"10281","Azygopus pinnifasciatus","Azygopus","Rhombosoleidae","Pleuronectiformes","Teleostei","Norman, 1926","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,510
"10282","Plagiopsetta glossa","Plagiopsetta","Samaridae","Pleuronectiformes","Teleostei","Franz, 1910","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.19,171.5
"10283","Samariscus latus","Samariscus","Samaridae","Pleuronectiformes","Teleostei","Matsubara &amp; Takamuki, 1951","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.16,NA
"10284","Samariscus sunieri","Samariscus","Samaridae","Pleuronectiformes","Teleostei","Weber &amp; de Beaufort, 1929","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,197
"10285","Aseraggodes dubius","Aseraggodes","Soleidae","Pleuronectiformes","Teleostei","Weber, 1913","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.085,101
"10286","Aseraggodes haackeanus","Aseraggodes","Soleidae","Pleuronectiformes","Teleostei","(Steindachner, 1883)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,25
"10287","Aseraggodes kaianus","Aseraggodes","Soleidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1880)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,201
"10288","Aseraggodes kobensis","Aseraggodes","Soleidae","Pleuronectiformes","Teleostei","(Steindachner, 1896)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,90
"10289","Aseraggodes umbratilis","Aseraggodes","Soleidae","Pleuronectiformes","Teleostei","(Alcock, 1894)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0775,170.5
"10290","Brachirus aspilos","Brachirus","Soleidae","Pleuronectiformes","Teleostei","(Bleeker, 1852)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.38,NA
"10291","Brachirus niger",NA,NA,NA,NA,"(Macleay, 1880)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,NA
"10292","Heteromycteris japonicus","Heteromycteris","Soleidae","Pleuronectiformes","Teleostei","(Temminck &amp; Schlegel, 1846)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.135,NA
"10293","Paradicula setifer","Paradicula","Soleidae","Pleuronectiformes","Teleostei","(Paradice, 1927)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"10294","Pardachirus hedleyi","Pardachirus","Soleidae","Pleuronectiformes","Teleostei","Ogilby, 1916","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,11.5
"10295","Soleichthys maculosus","Soleichthys","Soleidae","Pleuronectiformes","Teleostei","Muchhala &amp; Munroe, 2004","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.09510000229,50
"10296","Soleichthys microcephalus","Soleichthys","Soleidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1862)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.22,23
"10297","Soleichthys oculofasciatus","Soleichthys","Soleidae","Pleuronectiformes","Teleostei","Munroe &amp; Menke, 2004","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1246000004,38.5
"10298","Soleichthys serpenpellis","Soleichthys","Soleidae","Pleuronectiformes","Teleostei","Munroe &amp; Menke, 2004","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,6.5
"10299","Zebrias cancellatus","Zebrias","Soleidae","Pleuronectiformes","Teleostei","(McCulloch, 1916)","1",NA,NA,NA,NA,NA,NA,140,"demersal",0.27,NA
"10300","Zebrias craticulus",NA,NA,NA,NA,"(McCulloch, 1916)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA
"10301","Zebrias penescalaris","Zebrias","Soleidae","Pleuronectiformes","Teleostei","Gomon, 1987","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,47.5
"10302","Zebrias scalaris","Zebrias","Soleidae","Pleuronectiformes","Teleostei","Gomon, 1987","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,40
"10303","Nautichthys oculofasciatus","Nautichthys","Hemitripteridae","Scorpaeniformes","Teleostei","(Girard, 1858)","1",1.1,3.6,26.2694,54,NA,4,NA,"demersal",0.2,NA
"10304","Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Scorpaeniformes","Teleostei","(Pallas, 1810)","1",3,12.5,26.3492,65,NA,3.6,2100,"demersal",0.61,NA
"10305","Hexagrammos lagocephalus","Hexagrammos","Hexagrammidae","Scorpaeniformes","Teleostei","(Pallas, 1810)","1",4.1,17,29.2,89,NA,3.9,830,"demersal",0.61,NA
"10306","Oxylebius pictus","Oxylebius","Hexagrammidae","Scorpaeniformes","Teleostei","Gill, 1862","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,24.5
"10307","Rhamphocottus richardsonii","Rhamphocottus","Rhamphocottidae","Scorpaeniformes","Teleostei","G<fc>nther, 1874","1",0.1,0,28.8208,49,NA,3.4,NA,"demersal",0.089,NA
"10308","Anoplocapros lenticularis","Anoplocapros","Aracanidae","Tetraodontiformes","Teleostei","(Richardson, 1841)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.33,115
"10309","Aracana aurita","Aracana","Aracanidae","Tetraodontiformes","Teleostei","(Shaw, 1798)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,105
"10310","Symphurus atramentatus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Jordan &amp; Bollman, 1890","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1439999962,100.5
"10311","Symphurus callopterus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Munroe &amp; Mahadeva, 1989","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1620000076,167.5
"10312","Symphurus chabanaudi","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Mahadeva &amp; Munroe, 1990","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,30
"10313","Symphurus elongatus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1868)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1580000019,50.5
"10314","Symphurus fasciolaris","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Gilbert 1892","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.245,25.5
"10315","Symphurus gorgonae","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Chabanaud 1948","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08199999809,70.5
"10316","Symphurus leeorum",NA,NA,NA,NA,"Jordan &amp; Bollman, 1890","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1480000019,62
"10317","Symphurus melanurus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Clark, 1936","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1860000038,18
"10318","Symphurus melasmatotheca","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Munroe &amp; Nizinski, 1990","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1360000038,63
"10319","Symphurus oligomerus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Mahadeva &amp; Munroe, 1990","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1460000038,190
"10320","Symphurus prolatinaris","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Munroe, Nizinski &amp; Mahadeva, 1991","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1610000038,85.5
"10321","Symphurus undecimplerus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Munroe &amp; Nizinski, 1990","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1419999981,36.5
"10322","Symphurus varius","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Garman 1899","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1080000019,174
"10323","Symphurus williamsi","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Jordan &amp; Culver, 1895","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1160000038,26
"10324","Anarrhichthys ocellatus","Anarrhichthys","Anarhichadidae","Perciformes","Teleostei","Ayres, 1855","1",7.1,36.4,27.1613,235,NA,3.5,18400,"demersal",2.4,NA
"10325","Parupeneus diagonalis",NA,NA,NA,NA,"Randall, 2004","1",1.3,4.1,1,1,NA,NA,NA,"reef-associated",0.165,NA
"10326","Parupeneus fraserorum",NA,NA,NA,NA,"Randall &amp; King, 2009","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2229999924,60.5
"10327","Parupeneus minys",NA,NA,NA,NA,"Randall &amp; Heemstra, 2009","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1064999962,49
"10328","Parupeneus nansen",NA,NA,NA,NA,"Randall &amp; Heemstra, 2009","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1389999962,43.5
"10329","Parupeneus procerigena","Parupeneus","Mullidae","Perciformes","Teleostei","Kim &amp; Amaoka, 2001","1",1.5,5,7.2259,9,NA,NA,NA,"demersal",0.198,NA
"10330","Parupeneus rubescens","Parupeneus","Mullidae","Perciformes","Teleostei","(Lacep<e8>de, 1801)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.43,NA
"10331","Upeneus davidaromi","Upeneus","Mullidae","Perciformes","Teleostei","Golani, 2001","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.24,325
"10332","Upeneus heemstra",NA,NA,NA,NA,"Uiblein &amp; Gouws, 2014","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,6
"10333","Upeneus margarethae",NA,NA,NA,NA,"Uiblein &amp; Heemstra, 2010","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.11,29
"10334","Upeneus mascareinsis","Upeneus","Mullidae","Perciformes","Teleostei","Fourmanoir &amp; Gu<e9>z<e9>, 1967","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.18,250
"10335","Upeneus suahelicus",NA,NA,NA,NA,"Uiblein &amp; Heemstra, 2010","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.135,59.5
"10336","Upeneus supravittatus",NA,NA,NA,NA,"Uiblein &amp; Heemstra, 2010","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.14,NA
"10337","Sprattus fuegensis","Sprattus","Clupeidae","Clupeiformes","Teleostei","(Jenyns, 1842)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.18,NA
"10338","Engraulis anchoita","Engraulis","Engraulidae","Clupeiformes","Teleostei","Hubbs &amp; Marini, 1935","1",3.2,11.8,77.5834,48,NA,2.5,25,"pelagic-neritic",0.17,NA
"10339","Harpagifer bispinis","Harpagifer","Harpagiferidae","Perciformes","Teleostei","(Forster, 1801)","1",0.1,0,119.675,40,NA,3.2,NA,"demersal",0.07,NA
"10340","Cottus amblystomopsis","Cottus","Cottidae","Scorpaeniformes","Teleostei","Schmidt, 1904","1",3.6,12.8,5.2547,7,NA,NA,NA,"demersal",0.208,NA
"10341","Gymnogobius taranetzi","Gymnogobius","Gobiidae","Perciformes","Teleostei","(Pinchuk, 1978)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08300000191,NA
"10342","Hypomesus nipponensis","Hypomesus","Osmeridae","Osmeriformes","Teleostei","McAllister, 1963","1",NA,NA,NA,NA,NA,NA,NA,"pelagic",0.17,NA
"10343","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Teleostei","(Pallas, 1788)","1",3.6,14.9,71.73,252,NA,3.3,9100,"demersal",0.91,NA
"10344","Gymnogobius castaneus","Gymnogobius","Gobiidae","Perciformes","Teleostei","(O'Shaughnessy, 1875)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,NA
"10345","Coelophrys arca","Coelophrys","Ogcocephalidae","Lophiiformes","Teleostei","Smith &amp; Radcliffe, 1912","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04099999905,NA
"10346","Amoya gracilis","Amoya","Gobiidae","Perciformes","Teleostei","(Bleeker, 1875)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,NA
"10347","Boleophthalmus caeruleomaculatus","Boleophthalmus","Gobiidae","Perciformes","Teleostei","McCulloch &amp; Waite, 1918","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.165,NA
