"","db","query","class","order","family","genus"
"12616","itis","Amoya madraspatensis","Teleostei","Perciformes","Gobiidae","Amoya"
"12617","itis","Amoya signata",NA,NA,NA,NA
"12618","itis","Amphelikturus dendriticus",NA,NA,NA,NA
"12619","itis","Amphiarius rugispinis",NA,NA,NA,NA
"12620","itis","Amphichthys rubigenis","Teleostei","Batrachoidiformes","Batrachoididae","Amphichthys"
"12621","itis","Amphiprion barberi",NA,NA,NA,NA
"12622","itis","Amphiprion chrysogaster","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12623","itis","Amphiprion chrysopterus","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12624","itis","Amphiprion latezonatus","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12625","itis","Amphiprion latifasciatus","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12626","itis","Amphiprion leucokranos","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12627","itis","Amphiprion mccullochi","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12628","itis","Amphiprion nigripes","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12629","itis","Amphiprion ocellaris","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12630","itis","Amphiprion pacificus",NA,NA,NA,NA
"12631","itis","Amphiprion sebae","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12632","itis","Amphiprion thiellei","Teleostei","Perciformes","Pomacentridae","Amphiprion"
"12633","itis","Anableps dowii",NA,NA,NA,NA
"12634","itis","Anacanthobatis donghaiensis","Chondrichthyes","Rajiformes","Anacanthobatidae","Anacanthobatis"
"12635","itis","Anacanthobatis nanhaiensis","Chondrichthyes","Rajiformes","Anacanthobatidae","Anacanthobatis"
"12636","itis","Anaora tentaculata","Teleostei","Perciformes","Callionymidae","Anaora"
"12637","itis","Anarchias euryurus","Teleostei","Anguilliformes","Muraenidae","Anarchias"
"12638","itis","Anarchias exulatus",NA,NA,NA,NA
"12639","itis","Anarchias schultzi",NA,NA,NA,NA
"12640","itis","Anarhichas orientalis","Teleostei","Perciformes","Anarhichadidae","Anarhichas"
"12641","itis","Anatolanthias apiomycter","Teleostei","Perciformes","Serranidae","Anatolanthias"
"12642","itis","Ancistrogobius dipus",NA,NA,NA,NA
"12643","itis","Ancistrogobius squamiceps",NA,NA,NA,NA
"12644","itis","Ancistrogobius yoshigoui",NA,NA,NA,NA
"12645","itis","Andriashevia aptera","Teleostei","Perciformes","Zoarcidae","Andriashevia"
"12646","itis","Andriashevicottus megacephalus","Teleostei","Scorpaeniformes","Cottidae","Andriashevicottus"
"12647","itis","Anguilla labiata",NA,NA,NA,NA
"12648","itis","Anguilla malgumora","Teleostei","Anguilliformes","Anguillidae","Anguilla"
"12649","itis","Anguilla nebulosa","Teleostei","Anguilliformes","Anguillidae","Anguilla"
"12650","itis","Anisarchus macrops","Teleostei","Perciformes","Stichaeidae","Anisarchus"
"12651","itis","Anisarchus medius","Teleostei","Perciformes","Stichaeidae","Anisarchus"
"12652","itis","Anoplagonus inermis","Teleostei","Scorpaeniformes","Agonidae","Anoplagonus"
"12653","itis","Anoplagonus occidentalis","Teleostei","Scorpaeniformes","Agonidae","Anoplagonus"
"12654","itis","Anoplarchus insignis","Teleostei","Perciformes","Stichaeidae","Anoplarchus"
"12655","itis","Anoptoplacus pygmaeus",NA,NA,NA,NA
"12656","itis","Antennarius biocellatus","Teleostei","Lophiiformes","Antennariidae","Antennarius"
"12657","itis","Antennarius commerson","Teleostei","Lophiiformes","Antennariidae","Antennarius"
"12658","itis","Antennarius hispidus","Teleostei","Lophiiformes","Antennariidae","Antennarius"
"12659","itis","Antennarius indicus","Teleostei","Lophiiformes","Antennariidae","Antennarius"
"12660","itis","Antennarius maculatus","Teleostei","Lophiiformes","Antennariidae","Antennarius"
"12661","itis","Antennarius pictus","Teleostei","Lophiiformes","Antennariidae","Antennarius"
"12662","itis","Antennarius randalli","Teleostei","Lophiiformes","Antennariidae","Antennarius"
"12663","itis","Antennatus analis",NA,NA,NA,NA
"12664","itis","Antennatus coccineus",NA,NA,NA,NA
"12665","itis","Antennatus dorehensis",NA,NA,NA,NA
"12666","itis","Antennatus duescus",NA,NA,NA,NA
"12667","itis","Antennatus flagellatus","Teleostei","Lophiiformes","Antennariidae","Antennatus"
"12668","itis","Antennatus linearis","Teleostei","Lophiiformes","Antennariidae","Antennatus"
"12669","itis","Antennatus rosaceus",NA,NA,NA,NA
"12670","itis","Antennatus tuberosus","Teleostei","Lophiiformes","Antennariidae","Antennatus"
"12671","itis","Anthias menezesi","Teleostei","Perciformes","Serranidae","Anthias"
"12672","itis","Anthias noeli","Teleostei","Perciformes","Serranidae","Anthias"
"12673","itis","Antigonia aurorosea","Teleostei","Zeiformes","Caproidae","Antigonia"
"12674","itis","Antipodocottus elegans","Teleostei","Scorpaeniformes","Cottidae","Antipodocottus"
"12675","itis","Antipodocottus megalops","Teleostei","Scorpaeniformes","Cottidae","Antipodocottus"
"12676","itis","Antipodocottus mesembrinus","Teleostei","Scorpaeniformes","Cottidae","Antipodocottus"
"12677","itis","Apagesoma delosommatum",NA,NA,NA,NA
"12678","itis","Aphanius dispar","Teleostei","Cyprinodontiformes","Cyprinodontidae","Aphanius"
"12679","itis","Aphanopus arigato","Teleostei","Perciformes","Trichiuridae","Aphanopus"
"12680","itis","Aphanopus beckeri","Teleostei","Perciformes","Trichiuridae","Aphanopus"
"12681","itis","Aphanopus capricornis","Teleostei","Perciformes","Trichiuridae","Aphanopus"
"12682","itis","Aphanopus microphthalmus","Teleostei","Perciformes","Trichiuridae","Aphanopus"
"12683","itis","Aphyonus bolini","Teleostei","Ophidiiformes","Aphyonidae","Aphyonus"
"12684","itis","Aphyonus brevidorsalis","Teleostei","Ophidiiformes","Aphyonidae","Aphyonus"
"12685","itis","Apistops caloundra","Teleostei","Scorpaeniformes","Scorpaenidae","Apistops"
"12686","itis","Apletodon gabonensis",NA,NA,NA,NA
"12687","itis","Aploactis aspera","Teleostei","Scorpaeniformes","Scorpaenidae","Aploactis"
"12688","itis","Aploactisoma milesii","Teleostei","Scorpaeniformes","Aploactinidae","Aploactisoma"
"12689","itis","Aplodactylus etheridgii","Teleostei","Perciformes","Aplodactylidae","Aplodactylus"
"12690","itis","Aplodactylus lophodon",NA,NA,NA,NA
"12691","itis","Aplodactylus punctatus","Teleostei","Perciformes","Aplodactylidae","Aplodactylus"
"12692","itis","Aplodactylus westralis","Teleostei","Perciformes","Aplodactylidae","Aplodactylus"
"12693","itis","Apocryptodon madurensis","Teleostei","Perciformes","Gobiidae","Apocryptodon"
"12694","itis","Apodichthys fucorum","Teleostei","Perciformes","Pholidae","Apodichthys"
"12695","itis","Apogon americanus","Teleostei","Perciformes","Apogonidae","Apogon"
"12696","itis","Apogon campbelli","Teleostei","Perciformes","Apogonidae","Apogon"
"12697","itis","Apogon caudicinctus","Teleostei","Perciformes","Apogonidae","Apogon"
"12698","itis","Apogon ceramensis",NA,NA,NA,NA
"12699","itis","Apogon coccineus","Teleostei","Perciformes","Apogonidae","Apogon"
"12700","itis","Apogon crassiceps","Teleostei","Perciformes","Apogonidae","Apogon"
"12701","itis","Apogon dammermani","Teleostei","Perciformes","Apogonidae","Apogon"
"12702","itis","Apogon deetsie","Teleostei","Perciformes","Apogonidae","Apogon"
"12703","itis","Apogon dhofar",NA,NA,NA,NA
"12704","itis","Apogon dianthus","Teleostei","Perciformes","Apogonidae","Apogon"
"12705","itis","Apogon doryssa","Teleostei","Perciformes","Apogonidae","Apogon"
"12706","itis","Apogon erythrinus","Teleostei","Perciformes","Apogonidae","Apogon"
"12707","itis","Apogon erythrosoma","Teleostei","Perciformes","Apogonidae","Apogon"
"12708","itis","Apogon kautamea",NA,NA,NA,NA
"12709","itis","Apogon lativittatus","Teleostei","Perciformes","Apogonidae","Apogon"
"12710","itis","Apogon latus","Teleostei","Perciformes","Apogonidae","Apogon"
"12711","itis","Apogon marquesensis","Teleostei","Perciformes","Apogonidae","Apogon"
"12712","itis","Apogon nitidus",NA,NA,NA,NA
"12713","itis","Apogon posterofasciatus",NA,NA,NA,NA
"12714","itis","Apogon rubellus","Teleostei","Perciformes","Apogonidae","Apogon"
"12715","itis","Apogon rubrifuscus",NA,NA,NA,NA
"12716","itis","Apogon seminigracaudus",NA,NA,NA,NA
