"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"8731","Saccopharynx lavenbergi","Saccopharynx","Saccopharyngidae","Saccopharyngiformes","Teleostei","Nielsen &amp; Bertelsen, 1985","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.78,2500,"Least Concern"
"8732","Saccopharynx schmidti","Saccopharynx","Saccopharyngidae","Saccopharyngiformes","Teleostei","Bertin, 1934","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Least Concern"
"8733","Poromitra gibbsi","Poromitra","Melamphaidae","Stephanoberyciformes","Teleostei","Parin &amp; Borodulina, 1989","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,615,"Least Concern"
"8734","Poromitra oscitans","Poromitra","Melamphaidae","Stephanoberyciformes","Teleostei","Ebeling, 1975","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.08159999847,2982.5,"Least Concern"
"8735","Poromitra unicornis","Poromitra","Melamphaidae","Stephanoberyciformes","Teleostei","(Gilbert, 1905)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1139999962,800,"Least Concern"
"8736","Scopeloberyx microlepis","Scopeloberyx","Melamphaidae","Stephanoberyciformes","Teleostei","(Norman, 1937)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.04099999905,858.5,"Least Concern"
"8737","Scopelogadus unispinis","Scopelogadus","Melamphaidae","Stephanoberyciformes","Teleostei","Ebeling &amp; Weed, 1963","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Least Concern"
"8738","Sigmops ebelingi","Sigmops","Gonostomatidae","Stomiiformes","Teleostei","(Grey, 1960)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.09699999809,1052.5,"Least Concern"
"8739","Sigmops gracilis","Sigmops","Gonostomatidae","Stomiiformes","Teleostei","(G<fc>nther, 1878)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1331999969,2194.5,"Least Concern"
"8740","Sigmops longipinnis","Sigmops","Gonostomatidae","Stomiiformes","Teleostei","(Mukhacheva, 1972)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,36,"Least Concern"
"8741","Polymetme elongata","Polymetme","Phosichthyidae","Stomiiformes","Teleostei","(Matsubara, 1938)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1839999962,NA,"Least Concern"
"8742","Polymetme illustris","Polymetme","Phosichthyidae","Stomiiformes","Teleostei","McCulloch, 1926","1",0.5,1.3,7.3,24,NA,NA,NA,"bathydemersal",0.148,NA,"Least Concern"
"8743","Polymetme surugaensis","Polymetme","Phosichthyidae","Stomiiformes","Teleostei","(Matsubara, 1943)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.12,NA,"Least Concern"
"8744","Vinciguerria lucetia","Vinciguerria","Phosichthyidae","Stomiiformes","Teleostei","(Garman, 1899)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.08,300,"Least Concern"
"8745","Vinciguerria mabahiss","Vinciguerria","Phosichthyidae","Stomiiformes","Teleostei","Johnson &amp; Feltes, 1984","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,250,"Least Concern"
"8746","Yarrella argenteola","Yarrella","Phosichthyidae","Stomiiformes","Teleostei","(Garman, 1899)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,453.5,"Least Concern"
"8747","Polyipnus aquavitus","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03529999971,682,"Least Concern"
"8748","Polyipnus fraseri","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Fowler, 1934","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.04039999962,NA,"Least Concern"
"8749","Polyipnus indicus","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Schultz, 1961","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.06,275,"Least Concern"
"8750","Polyipnus kiwiensis","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.08199999809,NA,"Least Concern"
"8751","Polyipnus limatulus","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Harold &amp; Wessel, 1998","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,157.5,"Least Concern"
"8752","Polyipnus matsubarai","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Schultz, 1961","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.09670000076,260,"Least Concern"
"8753","Polyipnus meteori","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Kotthaus, 1967","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.05460000038,500,"Least Concern"
"8754","Polyipnus nuttingi","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Gilbert, 1905","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.08300000191,521,"Least Concern"
"8755","Polyipnus omphus","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.05590000153,NA,"Least Concern"
"8756","Polyipnus parini","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Borodulina, 1979","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.06099999905,NA,"Least Concern"
"8757","Polyipnus ruggeri","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Baird, 1971","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.06550000191,NA,"Least Concern"
"8758","Polyipnus soelae","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Harold, 1994","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.0603000021,410,"Least Concern"
"8759","Polyipnus spinifer","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Borodulina, 1979","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.06,267,"Least Concern"
"8760","Polyipnus stereope","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Jordan &amp; Starks, 1904","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.05300000191,215,"Least Concern"
"8761","Polyipnus tridentifer","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","McCulloch, 1914","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.07159999847,732.5,"Least Concern"
"8762","Polyipnus triphanos","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Schultz, 1938","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.04730000019,644,"Least Concern"
"8763","Polyipnus unispinus","Polyipnus","Sternoptychidae","Stomiiformes","Teleostei","Schultz, 1938","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03519999981,275,"Least Concern"
"8764","Valenciennellus carlsbergi","Valenciennellus","Sternoptychidae","Stomiiformes","Teleostei","Bruun, 1931","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.02099999905,100,"Least Concern"
"8765","Opostomias mitsuii","Opostomias","Stomiidae","Stomiiformes","Teleostei","Imai, 1941","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.36,713,"Least Concern"
"8766","Photonectes albipennis","Photonectes","Stomiidae","Stomiiformes","Teleostei","(D<f6>derlein, 1882)","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.3,460,"Least Concern"
"8767","Stomias atriventer","Stomias","Stomiidae","Stomiiformes","Teleostei","Garman, 1899","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.25,800,"Least Concern"
"8768","Stomias nebulosus","Stomias","Stomiidae","Stomiiformes","Teleostei","Alcock, 1889","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.18,685,"Least Concern"
"8769","Tactostoma macropus","Tactostoma","Stomiidae","Stomiiformes","Teleostei","Bolin, 1939","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.3429999924,1015,"Least Concern"
"8770","Synchiropus splendidus","Synchiropus","Callionymidae","Perciformes","Teleostei","(Herre, 1927)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07,9.5,"Least Concern"
"8771","Embiotoca lateralis","Embiotoca","Embiotocidae","Perciformes","Teleostei","Agassiz, 1854","1",3.1,12,20.278,14,NA,3.4,NA,"demersal",0.38,NA,"Least Concern"
"8772","Embiotoca jacksoni","Embiotoca","Embiotocidae","Perciformes","Teleostei","Agassiz, 1853","1",2.1,8,5.572,6,NA,3.2,700,"demersal",0.39,NA,"Least Concern"
"8773","Plectorhinchus ceylonensis","Plectorhinchus","Haemulidae","Perciformes","Teleostei","(Smith, 1956)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.44,12.5,"Least Concern"
"8774","Barathronus maculatus","Barathronus","Aphyonidae","Ophidiiformes","Teleostei","Shcherbachev, 1976","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.18,955.5,"Least Concern"
"8775","Neobythites australiensis","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1670000076,196,"Least Concern"
"8776","Neobythites fasciatus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1610000038,702.5,"Least Concern"
"8777","Neobythites kenyaensis","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 1995","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,270,"Least Concern"
"8778","Neobythites longipes","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1,390,"Least Concern"
"8779","Neobythites longiventralis","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1369999981,267.5,"Least Concern"
"8780","Neobythites macrops","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","G<fc>nther, 1887","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2160000038,414.5,"Least Concern"
"8781","Neobythites malayanus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Weber, 1913","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.175,337,"Least Concern"
"8782","Neobythites marianaensis","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA,"Least Concern"
"8783","Neobythites neocaledoniensis","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.245,570,"Least Concern"
"8784","Neobythites nigriventris","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA,"Least Concern"
"8785","Neobythites pallidus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1430000019,560,"Least Concern"
"8786","Neobythites purus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,437.5,"Least Concern"
"8787","Neobythites sivicola","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","(Jordan &amp; Snyder, 1901)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.25,162,"Least Concern"
"8788","Neobythites soelae","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 2002","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA,"Least Concern"
"8789","Neobythites somaliaensis","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 1995","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,395,"Least Concern"
"8790","Neobythites stefanovi","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen &amp; Uiblein, 1993","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1629999924,570,"Least Concern"
"8791","Neobythites stigmosus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Machida, 1984","1",1.4,4.8,13.9,20,NA,4,NA,"benthopelagic",0.18,NA,"Least Concern"
"8792","Neobythites trifilis","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Kotthaus, 1979","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,297.5,"Least Concern"
"8793","Neobythites unimaculatus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Smith &amp; Radcliffe, 1913","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2320000076,338.5,"Least Concern"
"8794","Neobythites vityazi","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 1995","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,520,"Least Concern"
"8795","Neobythites zonatus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Nielsen, 1997","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1739999962,612.5,"Least Concern"
"8796","Ophidion exul","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","Robins, 1991","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09600000381,10,"Least Concern"
"8797","Ophidion genyopus","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","(Ogilby, 1897)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Least Concern"
"8798","Ophidion metoecus","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","Robins, 1991","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1130000019,15.5,"Least Concern"
"8799","Ophidion muraenolepis","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","G<fc>nther, 1880","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.155,225,"Least Concern"
"8800","Ophidion smithi","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","(Fowler, 1934)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,NA,"Least Concern"
"8801","Porogadus guentheri","Porogadus","Ophidiidae","Ophidiiformes","Teleostei","Jordan &amp; Fowler, 1902","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.21,1167.5,"Least Concern"
"8802","Porogadus longiceps","Porogadus","Ophidiidae","Ophidiiformes","Teleostei","Garman, 1899","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,1763,"Least Concern"
"8803","Porogadus melampeplus","Porogadus","Ophidiidae","Ophidiiformes","Teleostei","(Alcock, 1896)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.21,1750,"Least Concern"
"8804","Sirembo imberbis","Sirembo","Ophidiidae","Ophidiiformes","Teleostei","(Temminck &amp; Schlegel, 1846)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,150,"Least Concern"
"8805","Sirembo jerdoni","Sirembo","Ophidiidae","Ophidiiformes","Teleostei","(Day, 1888)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.125,NA,"Least Concern"
"8806","Sirembo metachroma","Sirembo","Ophidiidae","Ophidiiformes","Teleostei","Cohen &amp; Robins, 1986","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA,"Least Concern"
"8807","Tauredophidium hextii","Tauredophidium","Ophidiidae","Ophidiiformes","Teleostei","Alcock, 1890","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.105,2080,"Least Concern"
"8808","Typhlonus nasus","Typhlonus","Ophidiidae","Ophidiiformes","Teleostei","G<fc>nther, 1878","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.285,4517.5,"Least Concern"
"8809","Parascolopsis capitinis","Parascolopsis","Nemipteridae","Perciformes","Teleostei","Russell, 1996","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1820000076,NA,"Least Concern"
"8810","Scopelarchus stephensi","Scopelarchus","Scopelarchidae","Aulopiformes","Teleostei","Johnson 1974","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.06199999809,500,"Least Concern"
"8811","Enoplosus armatus","Enoplosus","Enoplosidae","Perciformes","Teleostei","(Shaw, 1790)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,NA,"Least Concern"
"8812","Ostracoberyx dorygenys","Ostracoberyx","Ostracoberycidae","Perciformes","Teleostei","Fowler, 1934","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.23,483.5,"Least Concern"
"8813","Ostracoberyx paxtoni","Ostracoberyx","Ostracoberycidae","Perciformes","Teleostei","Qu<e9>ro &amp; Ozouf-Costaz, 1991","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1569999981,436,"Least Concern"
"8814","Anthias asperilinguis","Anthias","Serranidae","Perciformes","Teleostei","G<fc>nther, 1859","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1560000038,274.5,"Least Concern"
"8815","Achirus zebrinus","Achirus","Achiridae","Pleuronectiformes","Teleostei","Clark, 1936","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Least Concern"
"8816","Catathyridium garmani","Catathyridium","Achiridae","Pleuronectiformes","Teleostei","(Jordan, 1889)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.17,NA,"Least Concern"
"8817","Mancopsetta maculata","Mancopsetta","Achiropsettidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1880)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5,607.5,"Least Concern"
"8818","Neoachiropsetta milfordi","Neoachiropsetta","Achiropsettidae","Pleuronectiformes","Teleostei","(Penrith, 1965)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.57,588.5,"Least Concern"
"8819","Anodontostoma selangkat","Anodontostoma","Clupeidae","Clupeiformes","Teleostei","(Bleeker, 1852)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.18,25,"Least Concern"
"8820","Anodontostoma thailandiae","Anodontostoma","Clupeidae","Clupeiformes","Teleostei","Wongratana, 1983","1",1.4,4.5,13.536,20,NA,NA,NA,"pelagic-neritic",0.18,NA,"Least Concern"
"8821","Thryssa hamiltonii","Thryssa","Engraulidae","Clupeiformes","Teleostei","(Gray, 1835)","1",0.7,2.1,60.685,121,NA,3.4,NA,"pelagic-neritic",0.27,NA,"Least Concern"
"8822","Hilsa kelee","Hilsa","Clupeidae","Clupeiformes","Teleostei","(Cuvier, 1829)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.35,NA,"Least Concern"
"8823","Sardinops sagax","Sardinops","Clupeidae","Clupeiformes","Teleostei","(Jenyns 1842)","1",2.1,7.9,101.9734,263,NA,2.4,486,"pelagic-neritic",0.395,NA,"Least Concern"
"8824","Sprattus sprattus","Sprattus","Clupeidae","Clupeiformes","Teleostei","(Linnaeus, 1758)","1",2.7,9.5,110.4133,183,"omnivorous",3,NA,"pelagic-neritic",0.12,27.5,"Least Concern"
"8825","Sardinella gibbosa","Sardinella","Clupeidae","Clupeiformes","Teleostei","(Bleeker, 1849)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.2960000038,40,"Least Concern"
"8826","Sardinella sindensis","Sardinella","Clupeidae","Clupeiformes","Teleostei","(Day, 1878)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.17,25,"Least Concern"
"8827","Sardinella fimbriata","Sardinella","Clupeidae","Clupeiformes","Teleostei","(Valenciennes, 1847)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.13,25,"Least Concern"
"8828","Stolephorus commersonnii","Stolephorus","Engraulidae","Clupeiformes","Teleostei","Lacep<e8>de, 1803","1",1,2.9,58.1,142,NA,3,NA,"pelagic-neritic",0.1,NA,"Least Concern"
"8829","Coilia dussumieri","Coilia","Engraulidae","Clupeiformes","Teleostei","Valenciennes, in Cuvier &amp; Valenciennes, 1848","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.2,25,"Least Concern"
"8830","Spratelloides lewisi","Spratelloides","Clupeidae","Clupeiformes","Teleostei","Wongratana, 1983","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.06,25,"Least Concern"
"8831","Thryssa whiteheadi","Thryssa","Engraulidae","Clupeiformes","Teleostei","Wongratana, 1983","1",1.1,3.6,NA,NA,NA,NA,NA,"pelagic-neritic",0.158,NA,"Least Concern"
"8832","Coilia reynaldi","Coilia","Engraulidae","Clupeiformes","Teleostei","Valenciennes, 1848","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.15,25,"Least Concern"
"8833","Engraulis australis","Engraulis","Engraulidae","Clupeiformes","Teleostei","(Shaw, 1790)","1",2.2,7.1,31.7924,64,NA,3,NA,"pelagic-neritic",0.15,NA,"Least Concern"
"8834","Engraulis japonicus","Engraulis","Engraulidae","Clupeiformes","Teleostei","Temminck &amp; Schlegel, 1846","1",NA,NA,NA,NA,NA,NA,45,"pelagic-neritic",0.18,200,"Least Concern"
"8835","Arnoglossus bassensis","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","Norman, 1926","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,40,"Least Concern"
"8836","Arnoglossus elongatus","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","Weber, 1913","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.11,113.5,"Least Concern"
"8837","Arnoglossus fisoni","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","Ogilby, 1898","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,38,"Least Concern"
"8838","Arnoglossus micrommatus","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","Amaoka, Arai &amp; Gomon, 1997","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1310000038,32.5,"Least Concern"
"8839","Arnoglossus muelleri","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","(Klunzinger, 1872)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.21,102.5,"Least Concern"
"8840","Arnoglossus scapha","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","(Forster, 1801)","1",3.6,13.5,52.19880111,20,NA,NA,NA,"bathydemersal",0.281,NA,"Least Concern"
"8841","Arnoglossus waitei","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","Norman, 1926","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,53,"Least Concern"
"8842","Arnoglossus yamanakai","Arnoglossus","Bothidae","Pleuronectiformes","Teleostei","Fukui, Yamada &amp; Ozawa, 1988","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,25,"Least Concern"
"8843","Chascanopsetta prognatha","Chascanopsetta","Bothidae","Pleuronectiformes","Teleostei","Norman, 1939","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,522,"Least Concern"
"8844","Crossorhombus azureus","Crossorhombus","Bothidae","Pleuronectiformes","Teleostei","(Alcock, 1889)","1",2.1,7.2,59.16,75,NA,3.5,NA,"demersal",0.18,NA,"Least Concern"
"8845","Crossorhombus kobensis","Crossorhombus","Bothidae","Pleuronectiformes","Teleostei","(Jordan &amp; Starks, 1906)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.12,162.5,"Least Concern"
"8846","Engyprosopon bleekeri","Engyprosopon","Bothidae","Pleuronectiformes","Teleostei","(Macleay, 1881)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08399999619,23,"Least Concern"
"8847","Engyprosopon mogkii","Engyprosopon","Bothidae","Pleuronectiformes","Teleostei","(Bleeker, 1854)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.11,95.5,"Least Concern"
"8848","Engyprosopon multisquama","Engyprosopon","Bothidae","Pleuronectiformes","Teleostei","Amaoka, 1963","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1060000038,NA,"Least Concern"
"8849","Kamoharaia megastoma","Kamoharaia","Bothidae","Pleuronectiformes","Teleostei","(Kamohara, 1936)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.225,NA,"Least Concern"
"8850","Laeops macrophthalmus","Laeops","Bothidae","Pleuronectiformes","Teleostei","(Alcock, 1889)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Least Concern"
"8851","Laeops parviceps","Laeops","Bothidae","Pleuronectiformes","Teleostei","G<fc>nther, 1880","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,178,"Least Concern"
"8852","Lophonectes gallus","Lophonectes","Bothidae","Pleuronectiformes","Teleostei","G<fc>nther, 1880","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,133,"Least Concern"
"8853","Lophonectes mongonuiensis","Lophonectes","Bothidae","Pleuronectiformes","Teleostei","(Regan, 1914)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,40.5,"Least Concern"
"8854","Parabothus taiwanensis","Parabothus","Bothidae","Pleuronectiformes","Teleostei","Amaoka &amp; Shen, 1993","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1480000019,NA,"Least Concern"
"8855","Psettina gigantea","Psettina","Bothidae","Pleuronectiformes","Teleostei","Amaoka, 1963","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,89.5,"Least Concern"
"8856","Psettina senta","Psettina","Bothidae","Pleuronectiformes","Teleostei","Amaoka &amp; Larson, 1999","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0721999979,236.5,"Least Concern"
"8857","Psettina tosana","Psettina","Bothidae","Pleuronectiformes","Teleostei","Amaoka, 1963","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Least Concern"
"8858","Psettina variegata","Psettina","Bothidae","Pleuronectiformes","Teleostei","(Fowler, 1934)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09199999809,99,"Least Concern"
"8859","Tosarhombus octoculatus","Tosarhombus","Bothidae","Pleuronectiformes","Teleostei","Amaoka, 1969","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,350,"Least Concern"
"8860","Alosa chrysochloris","Alosa","Clupeidae","Clupeiformes","Teleostei","(Rafinesque, 1820)","1",2.9,11.9,13.5503,18,NA,3.9,1700,"pelagic-neritic",0.5,NA,"Least Concern"
"8861","Ilisha compressa","Ilisha","Pristigasteridae","Clupeiformes","Teleostei","Randall, 1994","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.2379999924,9,"Least Concern"
"8862","Symphurus trewavasae","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Chabanaud, 1948","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1820000076,98.5,"Least Concern"
"8863","Scophthalmus rhombus","Scophthalmus","Scophthalmidae","Pleuronectiformes","Teleostei","(Linnaeus, 1758)","1",1.5,5.7,46.7685,82,"carnivorous",4.4,8000,"demersal",0.675,36,"Least Concern"
"8864","Scophthalmus maximus","Scophthalmus","Scophthalmidae","Pleuronectiformes","Teleostei","(Linnaeus, 1758)","1",NA,NA,NA,NA,"carnivorous",4.4,25000,"demersal",0.65,36,"Least Concern"
"8865","Lepidorhombus whiffiagonis","Lepidorhombus","Scophthalmidae","Pleuronectiformes","Teleostei","(Walbaum, 1792)","1",5.2,22,37.45,46,"carnivorous",4.3,NA,"bathydemersal",0.425,225,"Least Concern"
