"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"71","Lotilia graciliosa","Lotilia","Gobiidae","Perciformes","Teleostei","Klausewitz, 1960","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.045,22.5,"Data Deficient"
"72","Stiphodon percnopterygionus","Stiphodon","Gobiidae","Perciformes","Teleostei","Watson &amp; Chen, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0374000001,NA,"Data Deficient"
"73","Canthigaster flavoreticulata","Canthigaster","Tetraodontidae","Tetraodontiformes","Teleostei","Matsuura, 1986","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,104.5,"Data Deficient"
"74","Arothron carduus","Arothron","Tetraodontidae","Tetraodontiformes","Teleostei","(Cantor, 1849)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"75","Sphoeroides andersonianus","Sphoeroides","Tetraodontidae","Tetraodontiformes","Teleostei","Morrow, 1957","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"76","Sphoeroides georgemilleri","Sphoeroides","Tetraodontidae","Tetraodontiformes","Teleostei","Shipp, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"77","Takifugu variomaculatus","Takifugu","Tetraodontidae","Tetraodontiformes","Teleostei","Li &amp; Kuang, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1371000004,NA,"Data Deficient"
"78","Torquigener randalli","Torquigener","Tetraodontidae","Tetraodontiformes","Teleostei","Hardy, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1269999981,73.5,"Data Deficient"
"79","Torquigener marleyi","Torquigener","Tetraodontidae","Tetraodontiformes","Teleostei","Fowler, 1929","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA,"Data Deficient"
"80","Canthigaster investigatoris","Canthigaster","Tetraodontidae","Tetraodontiformes","Teleostei","(Annandale &amp; Jenkins, 1910)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"81","Torquigener hicksi","Torquigener","Tetraodontidae","Tetraodontiformes","Teleostei","Hardy, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,NA,"Data Deficient"
"82","Lagocephalus cheesemanii","Lagocephalus","Tetraodontidae","Tetraodontiformes","Teleostei","(Clarke, 1897)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"83","Sphoeroides nitidus","Sphoeroides","Tetraodontidae","Tetraodontiformes","Teleostei","Griffin, 1921","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
