internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
190138,Rhomboplites aurorubens,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Rhomboplites,aurorubens,,,,,"(Cuvier, 1829)",
193222,Gobiodon axillaris,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Gobiodon,axillaris,,,,,"De Vis, 1884",
193700,Balistes punctatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,Balistes,punctatus,,,,,"Gmelin, 1789",
193706,Canthigaster marquesensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Canthigaster,marquesensis,,,,,"Allen &amp; Randall, 1977","The genus <span style=""font-style: italic;"">Canthigaster</span> is  hypothesized to undergo fast morphological/color differentiation and  slow mtDNA evolution (Randall <span style=""font-style: italic;"">et al</span>. 2008)."
193786,Arothron inconditus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Arothron,inconditus,,,,,"Smith, 1958","<p>Species of the genus <em>Arothron</em> have been distinguished primarily on the basis of their distinctive colour patterns due to morphological similarities between species, however it is important to note that many species are highly polychromatic (Su and Tyler 1986).<strong></strong></p>"
194299,Albula glossodonta,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,glossodonta,,,,,"(Forsskål, 1775)","The nomenclature of the bonefish family Albulidae is currently in a state of  revision. Until recently, bonefish were considered to be comprised of two  species, the circumglobal <span style=""font-style: italic;"">Albula vulpes</span> and the western Atlantic and eastern Pacific <span style=""font-style: italic;"">Albula nemoptera</span>;   however, new molecular genetic information indicates that there are at   least eight morphologically indistinguishable, but genetically  distinct  species (Colborn <span style=""font-style: italic;"">et al.</span> 2001). Wallace and Tringali (2010) have recently found nine distinct species. The few treatments of fisheries in this region are assumed to be <span style=""font-style: italic;"">A. glossodonta</span>. <span style=""font-style: italic;"">Albula glossodonta</span> has been found to be the sister species of <span style=""font-style: italic;"">A. vulpes</span> (Bowen <span style=""font-style: italic;"">et al.</span> 2008).&#160; Pacific and Indian Ocean populations are distinct (Colborn <span style=""font-style: italic;"">et al.</span> 2001). Friedlander <span style=""font-style: italic;"">et al.</span> (2008) found genetic differences between populations in the Line Islands and Hawaii."
196384,Stenogobius keletaona,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Stenogobius,keletaona,,,,,"Keith &amp; Marquet, 2006",<p>Further study is required for the genus <em>Stenogobius.</em></p>
196678,Fundulus jenkinsi,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,FUNDULIDAE,Fundulus,jenkinsi,,,,,"(Evermann, 1892)",
197321,Gobiomorphus hubbsi,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Gobiomorphus,hubbsi,,,,,"(Stokell, 1959)",
197330,Cheimarrichthys fosteri,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHEIMARRICHTHYIDAE,Cheimarrichthys,fosteri,,,,,"Haast, 1874","This is the only species in the family Cheimarrichthyidae worldwide (<span style=""background-color: white;"">McDowall 2000</span>)."
201946,Alosa aestivalis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Alosa,aestivalis,,,,,"(Mitchill, 1814)",Formerly placed in genus <em>Pomolobus</em> (Lee <em>et al</em>. 1980).
202019,Acentrogobius griseus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Acentrogobius,griseus,,,,,"(Day, 1876)",The placement of this species in the genus <em>Acentrogobius</em> requires confirmation (H.K. Larson pers. comm. 2019).
202038,Cynoglossus macrostomus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,CYNOGLOSSIDAE,Cynoglossus,macrostomus,,,,,"Norman, 1928","<span style=""background-color: white;"">The name <em>Cynoglossus semifasciatus</em> has been wrongly applied to the commercial species on the Malabar coast, namely, <em>C. macrostomus</em> (Menon 1971, 1977).</span>"
