date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Perciformes,Haemulidae,Haemulon flaviguttatum,0.42,5.7,24.8,29.40958,36,4.2
2013-02-01,fph,Actinopterygii,Perciformes,Sciaenidae,Isopisthus parvipinnis,0.25,1.2,4.4,43.6333,50,3.6
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Bothidae,Psettina iijimae,0.085,1.5,4.3,63.5661,49,3.6
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lyopsetta exilis,0.35,4.2,15.9,27.8735,49,3.4
2013-02-01,fph,Actinopterygii,Aulopiformes,Synodontidae,Saurida filamentosa,0.22,1,3.2,62.94,40,4.5
2013-02-01,fph,Actinopterygii,Perciformes,Carangidae,Alectis indica,1.65,3.6,17,NA,NA,4.1
2013-02-01,fph,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena viridensis,1.28,6.9,32.3,23.2667,28,4.3
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Abudefduf conformis,0.131,2,6.4,NA,NA,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena laevis,0.35,7.1,28.4,23.7,38,NA
2013-02-01,fph,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax dovii,1.7,0.1,0,37.48,39,NA
2013-02-01,fph,Actinopterygii,Clupeiformes,Clupeidae,Herklotsichthys lossei,0.08,0.8,2.1,NA,NA,NA
2013-02-01,fph,Actinopterygii,Clupeiformes,Clupeidae,Sardinella fijiense,0.115,1,2.9,1,1,NA
2013-02-01,fph,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax pictus,1.4,0.1,0,61.0433,255,4.2
2013-02-01,fph,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon artifrons,0.06,2.9,8.3,NA,NA,NA
2013-02-01,fph,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus parvipinnis,0.10800000000000001,1,3,20.5453,23,NA
2013-02-01,fph,Actinopterygii,Siluriformes,Ariidae,Arius manillensis,0.29600000000000004,2.8,10.5,1.46,2,NA
2013-02-01,fph,Actinopterygii,Mugiliformes,Mugilidae,Liza haematocheilus,0.53,4.3,17.8,NA,NA,2.5
2013-02-01,fph,Actinopterygii,Lophiiformes,Antennariidae,Histrio histrio,0.2,0.1,0,118.79,336,3.9
2013-02-01,fph,Actinopterygii,Lampriformes,Lampridae,Lampris immaculatus,1.1,0.1,0,16.7834,52,4.4
2013-02-01,fph,Actinopterygii,Osmeriformes,Bathylagidae,Leuroglossus schmidti,0.15,3.5,12.2,51.9,59,3.1
2013-02-01,fph,Actinopterygii,Perciformes,Zoarcidae,Melanostigma pammelas,0.11,1.3,4.1,34.4572,26,NA
2013-02-01,fph,Actinopterygii,Perciformes,Callionymidae,Callionymus limiceps,0.25,2,7.3,21.645,38,NA
2013-02-01,fph,Actinopterygii,Perciformes,Zoarcidae,Melanostigma gelatinosum,0.29,2.7,10.1,110.1706,322,NA
2013-02-01,fph,Actinopterygii,Perciformes,Haemulidae,Anisotremus davidsonii,0.58,2.1,8.5,13.07,13,3.5
2013-02-01,fph,Actinopterygii,Perciformes,Serranidae,Paralabrax loro,0.38,2.6,10.2,39.25,37,NA
